structure_id,embedding_id,feature_set,n_slots,n_features,n_neighbors,min_dist,embedding_seconds,algorithm,min_cluster_size,min_samples,selection_method,n_clusters,noise_fraction
e011__hdb_mcs75_ms10_eom,e011,broad_coverage,40,154,60,0.0,95.3598301410675,hdbscan,75.0,10.0,eom,3,0.0
e011__kmeans_k20,e011,broad_coverage,40,154,60,0.0,95.3598301410675,kmeans,,,,20,0.0
e011__kmeans_k40,e011,broad_coverage,40,154,60,0.0,95.3598301410675,kmeans,,,,40,0.0
e012__hdb_mcs30_ms0_eom,e012,broad_coverage,40,154,60,0.2,104.15098881721497,hdbscan,30.0,,eom,3,0.008476658476658476
e012__hdb_mcs75_ms10_eom,e012,broad_coverage,40,154,60,0.2,104.15098881721497,hdbscan,75.0,10.0,eom,4,0.021375921375921376
e012__kmeans_k20,e012,broad_coverage,40,154,60,0.2,104.15098881721497,kmeans,,,,20,0.0
e012__kmeans_k40,e012,broad_coverage,40,154,60,0.2,104.15098881721497,kmeans,,,,40,0.0
e013__hdb_mcs30_ms0_eom,e013,non_transcription,29,56,25,0.0,109.09053993225098,hdbscan,30.0,,eom,39,0.13157248157248158
e013__hdb_mcs75_ms10_eom,e013,non_transcription,29,56,25,0.0,109.09053993225098,hdbscan,75.0,10.0,eom,27,0.10356265356265357
e013__kmeans_k20,e013,non_transcription,29,56,25,0.0,109.09053993225098,kmeans,,,,20,0.0
e013__kmeans_k40,e013,non_transcription,29,56,25,0.0,109.09053993225098,kmeans,,,,40,0.0
e014__hdb_mcs30_ms0_eom,e014,non_transcription,29,56,25,0.2,113.44428873062134,hdbscan,30.0,,eom,29,0.2011056511056511
e014__hdb_mcs75_ms10_eom,e014,non_transcription,29,56,25,0.2,113.44428873062134,hdbscan,75.0,10.0,eom,13,0.0843980343980344
e014__kmeans_k20,e014,non_transcription,29,56,25,0.2,113.44428873062134,kmeans,,,,20,0.0
e014__kmeans_k40,e014,non_transcription,29,56,25,0.2,113.44428873062134,kmeans,,,,40,0.0
e015__hdb_mcs30_ms0_eom,e015,non_transcription,29,56,60,0.0,118.37484884262085,hdbscan,30.0,,eom,43,0.2964373464373464
e015__hdb_mcs75_ms10_eom,e015,non_transcription,29,56,60,0.0,118.37484884262085,hdbscan,75.0,10.0,eom,11,0.049754299754299756
e015__kmeans_k20,e015,non_transcription,29,56,60,0.0,118.37484884262085,kmeans,,,,20,0.0
e015__kmeans_k40,e015,non_transcription,29,56,60,0.0,118.37484884262085,kmeans,,,,40,0.0
e016__hdb_mcs30_ms0_eom,e016,non_transcription,29,56,60,0.2,123.23484206199646,hdbscan,30.0,,eom,23,0.22776412776412777
e016__hdb_mcs75_ms10_eom,e016,non_transcription,29,56,60,0.2,123.23484206199646,hdbscan,75.0,10.0,eom,5,0.044226044226044224
e016__kmeans_k20,e016,non_transcription,29,56,60,0.2,123.23484206199646,kmeans,,,,20,0.0
e016__kmeans_k40,e016,non_transcription,29,56,60,0.2,123.23484206199646,kmeans,,,,40,0.0
