target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
compartment,protein_features+interactions,median,rank,50,0.0,25,42,3000,17,38,0.10466666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16418228299996185,0.25,PM - peripheral 1,17,0
compartment,expression_summary+protein_features,median,rank,15,0.0,25,42,3000,17,16,0.08766666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16402994371312574,0.2765273311897106,ER,16,0
compartment,fitness_screens+published_screens+interactions,median,rank,50,0.0,25,42,3000,24,18,0.24766666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16384949067250815,0.22950819672131145,nucleus - chromatin,13,0
compartment,expression_raw+protein_features,median,rank,50,0.0,25,42,3000,31,12,0.076,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16233599542646665,0.24324324324324326,cytosol,17,0
compartment,expression_summary+expression_raw+interactions,median,rank,50,0.25,60,42,3000,26,6,0.203,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16229997361828072,0.2569444444444445,cytosol,15,0
compartment,protein_features+interactions,median,rank,50,0.25,25,42,3000,17,12,0.03766666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16229034614792998,0.25925925925925924,PM - peripheral 1,17,0
compartment,expression_raw+fitness_screens+protein_features,median,rank,50,0.0,60,42,3000,39,4,0.11766666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1619388385650124,0.25321100917431194,cytosol,15,0
compartment,expression_summary+expression_raw+interactions,median,rank,50,0.0,60,42,3000,26,7,0.084,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16189924187021187,0.24374999999999994,cytosol,16,0
compartment,expression_summary+published_screens,median,rank,15,0.0,60,42,3000,16,7,0.2786666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16133824015482653,0.24324324324324323,nucleus - chromatin,13,0
compartment,expression_raw+fitness_screens+protein_features,median,rank,50,0.25,60,42,3000,39,3,0.218,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1603437713245142,0.27194860813704497,cytosol,13,0
compartment,protein_features+interactions,median,rank,15,0.0,60,42,3000,17,16,0.13133333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.16027067606005457,0.23411371237458195,cytosol,15,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,50,0.0,60,42,3000,38,8,0.2816666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15968255556764946,0.23188405797101452,nucleus - chromatin,13,0
compartment,expression_summary+expression_raw+published_screens,median,rank,15,0.25,60,42,3000,34,4,0.493,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15941670357022242,0.28177641653905056,cytosol,13,0
compartment,expression_summary+protein_features+interactions,median,rank,15,0.0,60,42,3000,21,6,0.0,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15934931079293646,0.25147347740667975,cytosol,17,0
compartment,expression_summary+fitness_screens+published_screens,median,rank,15,0.25,60,42,3000,24,3,0.49966666666666665,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15876804711942186,0.2469135802469136,nucleus - chromatin,11,0
compartment,expression_summary+protein_features,median,rank,15,0.25,25,42,3000,17,6,0.039,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15858060184113482,0.2918149466192171,ER,16,0
compartment,protein_features,median,rank,15,0.0,60,42,3000,13,18,0.07266666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15797903208454261,0.26506024096385544,ER,17,0
compartment,expression_summary+expression_raw+published_screens,median,rank,50,0.0,60,42,3000,34,8,0.27066666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15756109222711043,0.27064220183486243,cytosol,13,0
compartment,expression_summary+published_screens,median,rank,50,0.0,25,42,3000,16,16,0.196,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15750463794714703,0.2538787023977433,nucleus - chromatin,13,0
compartment,expression_summary+published_screens,median,rank,15,0.25,60,42,3000,16,4,0.4613333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15737907068973334,0.23755656108597287,cytosol,12,0
compartment,fitness_screens+interactions,median,rank,50,0.0,25,42,3000,12,15,0.21466666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15665406066535875,0.2558922558922559,cytosol,14,0
compartment,expression_summary+expression_raw+fitness_screens,median,rank,15,0.0,60,42,3000,30,7,0.30666666666666664,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15650216895667907,0.23404255319148937,dense granules,12,0
compartment,expression_summary+expression_raw+interactions,median,rank,15,0.0,60,42,3000,26,9,0.08166666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1564078881639851,0.2407407407407407,cytosol,16,0
compartment,expression_raw+protein_features+interactions,median,rank,15,0.0,25,42,3000,35,15,0.043333333333333335,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15611106184690016,0.26382153249272555,nucleus - chromatin,16,0
compartment,published_screens+protein_features,median,rank,15,0.0,60,42,3000,25,6,0.022333333333333334,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15566450870728973,0.2432432432432432,ER,16,0
compartment,protein_features,median,rank,50,0.0,25,42,3000,13,26,0.035,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15547276724023032,0.3448275862068966,PM - peripheral 1,17,0
compartment,expression_summary+fitness_screens+published_screens,median,rank,50,0.0,25,42,3000,24,17,0.395,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15545052002627327,0.21495327102803735,cytosol,12,0
compartment,expression_raw+fitness_screens+protein_features,median,rank,15,0.25,60,42,3000,39,3,0.21866666666666668,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15538727645132533,0.2569832402234637,cytosol,12,0
compartment,expression_raw+fitness_screens+published_screens,median,rank,15,0.0,60,42,3000,38,9,0.22233333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15536519833897902,0.2222222222222222,nucleus - chromatin,13,0
compartment,expression_summary+protein_features,median,rank,15,0.25,60,42,3000,17,4,0.06166666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15529344308491877,0.2981818181818182,ER,16,0
compartment,expression_summary+expression_raw+interactions,median,rank,15,0.25,60,42,3000,26,7,0.16333333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15498331557061873,0.25,cytosol,15,0
compartment,protein_features+interactions,median,rank,50,0.0,60,42,3000,17,12,0.036333333333333336,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15470787989743495,0.23163841807909608,cytosol,16,0
compartment,published_screens+protein_features+interactions,median,rank,15,0.0,25,42,3000,29,17,0.065,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15463192521340646,0.2673170731707317,nucleus - chromatin,15,0
compartment,protein_features,median,rank,50,0.0,60,42,3000,13,16,0.026333333333333334,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.1545927325194441,0.27009646302250806,ER,17,0
compartment,expression_summary+published_screens+interactions,median,rank,15,0.0,25,42,3000,20,24,0.2753333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15452629306518842,0.23972602739726026,cytosol,12,0
compartment,expression_summary+fitness_screens+published_screens,median,rank,15,0.0,60,42,3000,24,5,0.20366666666666666,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15451704889507187,0.23021582733812948,nucleus - chromatin,14,0
compartment,expression_summary+published_screens,median,rank,50,0.0,60,42,3000,16,7,0.20766666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15440765584414828,0.24725274725274723,nucleus - chromatin,14,0
compartment,expression_raw+published_screens+interactions,median,rank,15,0.0,25,42,3000,34,11,0.11566666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15322149044808542,0.2320675105485232,nucleus - chromatin,14,0
compartment,published_screens+protein_features,median,rank,15,0.0,25,42,3000,25,31,0.12066666666666667,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15310802339382976,0.2777777777777778,ER,15,0
compartment,expression_summary+fitness_screens+interactions,median,rank,15,0.25,25,42,3000,16,6,0.22533333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15285965078622044,0.24749163879598662,cytosol,13,0
compartment,expression_raw+fitness_screens+interactions,median,rank,50,0.25,25,42,3000,30,6,0.118,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15250986328277286,0.2491349480968858,cytosol,15,0
compartment,protein_features,median,rank,15,0.25,25,42,3000,13,23,0.033666666666666664,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15228115320467592,0.2727272727272727,ER,17,0
compartment,expression_raw+published_screens,median,rank,15,0.25,60,42,3000,30,4,0.35533333333333333,5,compartment;compartment_best;lopit_map;lopit_mcmc;lopit_unified,0.15200446100338624,0.2363636363636364,nucleus - chromatin,13,0
