label,cluster,n_label,n_in_cluster,precision,recall,f1,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,target
oocyst,7,525,145,0.8011049723756906,0.2761904761904762,0.4107648725212465,protein_features,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,7,91,24,0.13259668508287292,0.26373626373626374,0.1764705882352941,protein_features,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,3,90,22,0.19130434782608696,0.24444444444444444,0.2146341463414634,protein_features,median,rank,15,0.25,60,stage_enriched_derived
oocyst,2,535,125,0.8064516129032258,0.2336448598130841,0.3623188405797102,protein_features,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,2,93,19,0.12258064516129032,0.20430107526881722,0.15322580645161288,protein_features,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,16,97,17,0.2698412698412698,0.17525773195876287,0.21249999999999997,protein_features,median,rank,50,0.0,25,stage_enriched_derived
oocyst,2,535,125,0.8064516129032258,0.2336448598130841,0.3623188405797102,protein_features,median,rank,50,0.0,60,stage_enriched_derived
tachyzoite,2,93,19,0.12258064516129032,0.20430107526881722,0.15322580645161288,protein_features,median,rank,50,0.0,60,stage_enriched_derived
bradyzoite,11,98,17,0.2698412698412698,0.17346938775510204,0.21118012422360247,protein_features,median,rank,50,0.0,60,stage_enriched_derived
oocyst,0,548,142,0.7802197802197802,0.2591240875912409,0.38904109589041097,protein_features,median,rank,50,0.25,25,stage_enriched_derived
tachyzoite,0,94,22,0.12087912087912088,0.23404255319148937,0.15942028985507245,protein_features,median,rank,50,0.25,25,stage_enriched_derived
bradyzoite,16,98,17,0.27419354838709675,0.17346938775510204,0.2125,protein_features,median,rank,50,0.25,25,stage_enriched_derived
oocyst,0,551,174,0.8055555555555556,0.3157894736842105,0.45371577574967414,protein_features,median,rank,50,0.25,60,stage_enriched_derived
tachyzoite,0,94,27,0.125,0.2872340425531915,0.17419354838709677,protein_features,median,rank,50,0.25,60,stage_enriched_derived
bradyzoite,7,98,29,0.26126126126126126,0.29591836734693877,0.27751196172248804,protein_features,median,rank,50,0.25,60,stage_enriched_derived
oocyst,2,510,43,0.7543859649122807,0.08431372549019608,0.15167548500881836,interactions,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,46,88,8,0.3076923076923077,0.09090909090909091,0.14035087719298245,interactions,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,4,95,12,0.32432432432432434,0.12631578947368421,0.18181818181818182,interactions,median,rank,15,0.0,25,stage_enriched_derived
oocyst,2,426,43,0.7543859649122807,0.10093896713615023,0.1780538302277433,interactions,median,rank,15,0.0,60,stage_enriched_derived
tachyzoite,11,75,11,0.24444444444444444,0.14666666666666667,0.18333333333333335,interactions,median,rank,15,0.0,60,stage_enriched_derived
bradyzoite,3,78,13,0.2708333333333333,0.16666666666666666,0.2063492063492063,interactions,median,rank,15,0.0,60,stage_enriched_derived
oocyst,33,519,55,0.6707317073170732,0.10597302504816955,0.18302828618968384,interactions,median,rank,15,0.25,25,stage_enriched_derived
tachyzoite,33,87,16,0.1951219512195122,0.1839080459770115,0.1893491124260355,interactions,median,rank,15,0.25,25,stage_enriched_derived
bradyzoite,3,93,13,0.2708333333333333,0.13978494623655913,0.18439716312056736,interactions,median,rank,15,0.25,25,stage_enriched_derived
oocyst,12,395,80,0.7017543859649122,0.20253164556962025,0.31434184675834975,interactions,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,12,63,18,0.15789473684210525,0.2857142857142857,0.2033898305084746,interactions,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,2,75,13,0.2708333333333333,0.17333333333333334,0.2113821138211382,interactions,median,rank,15,0.25,60,stage_enriched_derived
oocyst,32,499,30,0.75,0.06012024048096192,0.11131725417439703,interactions,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,9,83,6,0.6666666666666666,0.07228915662650602,0.13043478260869565,interactions,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,22,87,12,0.32432432432432434,0.13793103448275862,0.1935483870967742,interactions,median,rank,50,0.0,25,stage_enriched_derived
oocyst,5,504,98,0.8828828828828829,0.19444444444444445,0.3186991869918699,interactions,median,rank,50,0.0,60,stage_enriched_derived
tachyzoite,12,87,12,0.23076923076923078,0.13793103448275862,0.17266187050359713,interactions,median,rank,50,0.0,60,stage_enriched_derived
bradyzoite,14,97,31,0.2198581560283688,0.31958762886597936,0.2605042016806723,interactions,median,rank,50,0.0,60,stage_enriched_derived
oocyst,13,530,87,0.696,0.1641509433962264,0.26564885496183205,interactions,median,rank,50,0.25,25,stage_enriched_derived
tachyzoite,13,89,20,0.16,0.2247191011235955,0.18691588785046728,interactions,median,rank,50,0.25,25,stage_enriched_derived
bradyzoite,15,94,24,0.22857142857142856,0.2553191489361702,0.24120603015075376,interactions,median,rank,50,0.25,25,stage_enriched_derived
oocyst,12,503,89,0.8811881188118812,0.17693836978131214,0.2947019867549669,interactions,median,rank,50,0.25,60,stage_enriched_derived
tachyzoite,13,85,20,0.16260162601626016,0.23529411764705882,0.19230769230769232,interactions,median,rank,50,0.25,60,stage_enriched_derived
bradyzoite,7,97,31,0.2198581560283688,0.31958762886597936,0.2605042016806723,interactions,median,rank,50,0.25,60,stage_enriched_derived
oocyst,0,554,377,0.6614035087719298,0.6805054151624549,0.6708185053380783,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,0,94,94,0.1649122807017544,1.0,0.28313253012048195,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,0,100,99,0.1736842105263158,0.99,0.2955223880597015,expression_raw,median,rank,15,0.0,25,stage_enriched_derived
oocyst,0,554,426,0.6882067851373183,0.7689530685920578,0.7263427109974425,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
tachyzoite,0,94,94,0.1518578352180937,1.0,0.26367461430575034,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
bradyzoite,0,100,99,0.15993537964458804,0.99,0.2753824756606398,expression_raw,median,rank,15,0.0,60,stage_enriched_derived
oocyst,1,496,349,0.647495361781076,0.7036290322580645,0.6743961352657005,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
tachyzoite,1,93,93,0.1725417439703154,1.0,0.29430379746835444,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
bradyzoite,1,97,97,0.17996289424860853,1.0,0.30503144654088055,expression_raw,median,rank,15,0.25,25,stage_enriched_derived
oocyst,0,426,302,0.6239669421487604,0.7089201877934272,0.6637362637362638,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
tachyzoite,0,94,94,0.19421487603305784,1.0,0.32525951557093424,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
bradyzoite,0,88,88,0.18181818181818182,1.0,0.3076923076923077,expression_raw,median,rank,15,0.25,60,stage_enriched_derived
oocyst,0,542,425,0.6865912762520194,0.7841328413284133,0.732127476313523,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
tachyzoite,0,94,94,0.1518578352180937,1.0,0.26367461430575034,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
bradyzoite,0,100,100,0.16155088852988692,1.0,0.2781641168289291,expression_raw,median,rank,50,0.0,25,stage_enriched_derived
oocyst,0,554,425,0.6865912762520194,0.7671480144404332,0.7246376811594203,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
tachyzoite,0,94,94,0.1518578352180937,1.0,0.26367461430575034,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
bradyzoite,0,100,100,0.16155088852988692,1.0,0.2781641168289291,expression_raw,median,rank,50,0.0,60,stage_enriched_derived
oocyst,0,507,407,0.679465776293823,0.8027613412228797,0.735985533453888,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
tachyzoite,0,93,93,0.15525876460767946,1.0,0.26878612716763,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
bradyzoite,0,99,99,0.1652754590984975,1.0,0.2836676217765043,expression_raw,median,rank,50,0.25,25,stage_enriched_derived
oocyst,0,406,289,0.6148936170212767,0.7118226600985221,0.6598173515981736,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
tachyzoite,0,90,90,0.19148936170212766,1.0,0.32142857142857145,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
bradyzoite,0,91,91,0.19361702127659575,1.0,0.3244206773618538,expression_raw,median,rank,50,0.25,60,stage_enriched_derived
oocyst,0,554,531,0.7489421720733427,0.9584837545126353,0.8408551068883611,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
tachyzoite,0,94,89,0.12552891396332863,0.9468085106382979,0.22166874221668745,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
bradyzoite,0,100,89,0.12552891396332863,0.89,0.2200247218788628,fitness_screens,median,rank,15,0.0,25,stage_enriched_derived
oocyst,0,554,531,0.7489421720733427,0.9584837545126353,0.8408551068883611,fitness_screens,median,rank,15,0.0,60,stage_enriched_derived
