transport,source,pointer,response,marker,mood,material,paint_ms,gpu_failed,frame_sha256
ray traced,mouse flashlight,soft flashlight,direct,none,neutral,flat,16.741,False,2d301948e2a93ae798150c1db8db55fcaab6815fb3b996088403ecbd4ac2088e
ray traced,mouse flashlight,soft flashlight,direct,halo,gold,glossy 3D,15.228,False,2b9c347d12d60783c33dda4eacf85c8224e000bf7d34989b66b2a0e0994536e3
ray traced,mouse flashlight,soft flashlight,direct,pulse,cool blue,metallic 3D,15.424,False,b602fa27fe0208ba8e2996b1636a528ecfab3a0316e874c28f6b1120174c9abf
ray traced,mouse flashlight,soft flashlight,smooth,none,violet,velvet 3D,15.339,False,031bf85d31be6ee7be7becba1a9c690d27c5253521be4c1caa6138ad54895b02
ray traced,mouse flashlight,soft flashlight,smooth,beacon,daylight,glass 3D,15.434,False,8c1dbba4edd88a656aa36d093142bcc1108dcec7442330c6681d54b8b6ec839d
ray traced,mouse flashlight,soft flashlight,cinematic,none,neutral,flat,17.027,False,2d301948e2a93ae798150c1db8db55fcaab6815fb3b996088403ecbd4ac2088e
ray traced,mouse flashlight,soft flashlight,cinematic,halo,gold,glossy 3D,15.193,False,2b9c347d12d60783c33dda4eacf85c8224e000bf7d34989b66b2a0e0994536e3
ray traced,mouse flashlight,soft flashlight,cinematic,pulse,cool blue,metallic 3D,15.511,False,bcafa5e79fc761b8d155e376236d00d1ec125e0751a5dbf68765348497e6e66c
ray traced,mouse flashlight,parallel wash,direct,none,violet,velvet 3D,15.777,False,549a230618f8b0072ccad143e2f64a88b5944626f902973242c2b8e38f397ddf
ray traced,mouse flashlight,parallel wash,direct,beacon,daylight,glass 3D,15.521,False,2aa431b4dc590202f4c0afe21d0982c97c0ff1b11ed12531e114b6511f01cbf4
ray traced,mouse flashlight,parallel wash,smooth,none,neutral,flat,16.635,False,5d7ea7da6bb373a5620c7e909baff6ede6aa933a1b406adbbf166e3e4485a82a
ray traced,mouse flashlight,parallel wash,smooth,halo,gold,glossy 3D,14.877,False,623fd0d522b8ca557dbf1bca693ad6800f960381d33ef93171ec4d472ac8e4c5
ray traced,mouse flashlight,parallel wash,smooth,pulse,cool blue,metallic 3D,15.545,False,c19e5750a9fb5cd357108b0757b63dfb08e1a4f6e807f53b9d5d51e047fcddb1
ray traced,mouse flashlight,parallel wash,cinematic,none,violet,velvet 3D,15.583,False,549a230618f8b0072ccad143e2f64a88b5944626f902973242c2b8e38f397ddf
ray traced,mouse flashlight,parallel wash,cinematic,beacon,daylight,glass 3D,15.808,False,2aa431b4dc590202f4c0afe21d0982c97c0ff1b11ed12531e114b6511f01cbf4
deep ray traced,mouse flashlight,broad flashlight,direct,none,neutral,flat,16.575,False,5b1086d0a09fbe0aaec01fdea484f518ec3a1d125de425d0c29116de4deb0b82
deep ray traced,mouse flashlight,broad flashlight,direct,halo,gold,glossy 3D,15.518,False,31a4a7b09ba651e3a3cac5bed6005caeb1e94a02b1efbc9bf31731934b897965
deep ray traced,mouse flashlight,broad flashlight,direct,pulse,cool blue,metallic 3D,17.343,False,bca7d5cd157de44e02f3c4742f8adeedec8cb0bb685c1a1f6e79286c5e31b8c8
deep ray traced,mouse flashlight,broad flashlight,smooth,none,violet,velvet 3D,16.181,False,6b45b3c720f4b84324ac6fefa264ef53a91cadc1dd434f7a167e3063f59857fc
deep ray traced,mouse flashlight,broad flashlight,smooth,beacon,daylight,glass 3D,16.491,False,5e9112c29ad2d5d21bdf6afc76405bbf18286eaeae94e45869f3a38d68568b1b
deep ray traced,mouse flashlight,broad flashlight,cinematic,none,neutral,flat,16.806,False,5b1086d0a09fbe0aaec01fdea484f518ec3a1d125de425d0c29116de4deb0b82
deep ray traced,mouse flashlight,broad flashlight,cinematic,halo,gold,glossy 3D,17.11,False,31a4a7b09ba651e3a3cac5bed6005caeb1e94a02b1efbc9bf31731934b897965
deep ray traced,mouse flashlight,broad flashlight,cinematic,pulse,cool blue,metallic 3D,16.02,False,772f47b222c799b9daf6d52bbd6fbc9e5dac0916741b84f4564843b2a029f2c3
deep ray traced,mouse flashlight,focused flashlight,direct,none,violet,velvet 3D,15.78,False,06d6292920cd8089dae848464e5848108b76f60370c818d7f9bc6df3498c9dfb
deep ray traced,mouse flashlight,focused flashlight,direct,beacon,daylight,glass 3D,15.7,False,7397d30a1f487d07b80931884a0b3fb0c18bc76c28e244ed66869e545ce03589
deep ray traced,mouse flashlight,focused flashlight,smooth,none,neutral,flat,16.914,False,890107d071788c058dda130e5278958d7abbdae1c67317f46ee121afd4c91aac
deep ray traced,mouse flashlight,focused flashlight,smooth,halo,gold,glossy 3D,14.705,False,27ded07209b63f2c5ece717ffad8a04ce548867a0b5e9e2b40942840068ad31a
deep ray traced,mouse flashlight,focused flashlight,smooth,pulse,cool blue,metallic 3D,16.44,False,79b701f8ed8dd305544cb7f544129934edc7fe9a2c68c2da96af575727168dd1
deep ray traced,mouse flashlight,focused flashlight,cinematic,none,violet,velvet 3D,15.569,False,06d6292920cd8089dae848464e5848108b76f60370c818d7f9bc6df3498c9dfb
deep ray traced,mouse flashlight,focused flashlight,cinematic,beacon,daylight,glass 3D,15.975,False,7397d30a1f487d07b80931884a0b3fb0c18bc76c28e244ed66869e545ce03589
deep ray traced,mouse flashlight,soft flashlight,direct,none,neutral,flat,16.553,False,036525bab0e49c997b3a167b84959bdb00ee10c05411762f2aca8874c556fe4e
deep ray traced,mouse flashlight,soft flashlight,direct,halo,gold,glossy 3D,14.992,False,9674d038be98fe86727cf5600bff51ffb190913a84f08be41269e8cefb317da9
deep ray traced,mouse flashlight,soft flashlight,direct,pulse,cool blue,metallic 3D,15.493,False,61986fb58eaa426297e2cba8a6e8e7989d3cb7e36a7d2fa1fc60633cadb962ce
deep ray traced,mouse flashlight,soft flashlight,smooth,none,violet,velvet 3D,15.657,False,699cb15ef6c8898417c3b34e917d621a435d1d467a06946c74bc7274e790ed9f
deep ray traced,mouse flashlight,soft flashlight,smooth,beacon,daylight,glass 3D,16.085,False,4475dd2403ffa88c041c1cb5cd43e6bbbd2bf11f2d6a0d197be0ad73767b3dab
deep ray traced,mouse flashlight,soft flashlight,cinematic,none,neutral,flat,16.602,False,036525bab0e49c997b3a167b84959bdb00ee10c05411762f2aca8874c556fe4e
deep ray traced,mouse flashlight,soft flashlight,cinematic,halo,gold,glossy 3D,14.944,False,9674d038be98fe86727cf5600bff51ffb190913a84f08be41269e8cefb317da9
deep ray traced,mouse flashlight,soft flashlight,cinematic,pulse,cool blue,metallic 3D,15.775,False,f52a68c35a2139fb3acc71efd073f889ffbe081982d88b5308c5781804d80dd4
deep ray traced,mouse flashlight,parallel wash,direct,none,violet,velvet 3D,15.676,False,3003989fc0a84f9821239ddc3a5eaf7925088c50bb785b8e616c88873cfa142e
deep ray traced,mouse flashlight,parallel wash,direct,beacon,daylight,glass 3D,15.398,False,fa65b56ac2f04a5c799b04ba1b37643e97557814141ddaf74b1bd19ff0b4cd8e
deep ray traced,mouse flashlight,parallel wash,smooth,none,neutral,flat,16.972,False,7110a37625a0910f735fba159d34eb3704b826d46759dcfb076f397fe5ae74b7
deep ray traced,mouse flashlight,parallel wash,smooth,halo,gold,glossy 3D,15.517,False,12b4dd59f8e951197cd76a99721319e9fd5fe749200f1abc5d269f1cea2ed6c9
deep ray traced,mouse flashlight,parallel wash,smooth,pulse,cool blue,metallic 3D,15.626,False,54161712134dfd4bdb7aa333ddd8403404f0d28cdaa49f2876b76b5686a2026b
deep ray traced,mouse flashlight,parallel wash,cinematic,none,violet,velvet 3D,15.779,False,3003989fc0a84f9821239ddc3a5eaf7925088c50bb785b8e616c88873cfa142e
deep ray traced,mouse flashlight,parallel wash,cinematic,beacon,daylight,glass 3D,16.204,False,fa65b56ac2f04a5c799b04ba1b37643e97557814141ddaf74b1bd19ff0b4cd8e
soft,selected gene,broad flashlight,smooth,none,neutral,flat,8.987,False,95b25dba7a4fd14aabf719f0a9e92b1b483249b3a4550b21e24ca9fc320cd687
soft,selected gene,broad flashlight,smooth,halo,gold,glossy 3D,13.03,False,95b262da21019be07703da046842e7f0e7bf8cfa8186f1b0ff76bdda0dd72c0d
soft,selected gene,broad flashlight,smooth,pulse,cool blue,metallic 3D,14.21,False,5a12271470538205cabedd94e1b53418225cc5107e68076cec30d80afd69bb0a
soft,selected gene and its edges,broad flashlight,smooth,none,violet,velvet 3D,19.134,False,94cc895bdc095f456f026e5d3f5063ccc7235a0f24af765002ba35c8b8281751
soft,selected gene and its edges,broad flashlight,smooth,beacon,daylight,glass 3D,18.274,False,1dada5982afd7ac26009793142a607654e05591cec670cac9b48760f27303566
soft,wandering light,broad flashlight,smooth,none,neutral,flat,9.158,False,549adb4dfc192aa261ecfbe0773e93e578e9f2eca078d35e6a5ec6833b3c5f04
soft,wandering light,broad flashlight,smooth,halo,gold,glossy 3D,13.961,False,76049ecc08e6fa0f350c108adf73089820f8cb12eead52e4df7cdfd0ea703eb1
soft,wandering light,broad flashlight,smooth,pulse,cool blue,metallic 3D,14.241,False,6edefe8467a4ef19a708783d42df5d4aa865d85765310c70dc73ab5763057e5a
soft,bouncing light,broad flashlight,smooth,none,violet,velvet 3D,14.405,False,829a66bb845732e8c839583a35249a5722bcf5f269ee612b8b2089204ac85733
soft,bouncing light,broad flashlight,smooth,beacon,daylight,glass 3D,14.329,False,926f14d78dee3c7b8bcc41260ad8cd4fe15b714ebdd8257ff69744af9bbc1a01
ray traced,selected gene,broad flashlight,smooth,none,neutral,flat,17.063,False,2a7c8012b07d316ff0bdef9fed9284e9741d1e33b2bd04cab59cab9fd2ccf10e
ray traced,selected gene,broad flashlight,smooth,halo,gold,glossy 3D,15.371,False,ec143a7db3e9e4fa3ea96cff04cd466e571016e7273b8b09d700ca4c23c9d4eb
ray traced,selected gene,broad flashlight,smooth,pulse,cool blue,metallic 3D,16.273,False,f12f7350597d9bd9b23a196ced1c37e608a56a7e4a8d3f573ad123df436cd82b
ray traced,selected gene and its edges,broad flashlight,smooth,none,violet,velvet 3D,30.558,False,45622aeeb2cc37dfffa86955cd9b70e8330af6b9307f5cf088c9e09c33f6e3d7
ray traced,selected gene and its edges,broad flashlight,smooth,beacon,daylight,glass 3D,31.226,False,88ad6aceebfb1576b6baa8141ef8e146eb7d0844aaf20610d9cd1ffbd9cd8c87
ray traced,wandering light,broad flashlight,smooth,none,neutral,flat,17.556,False,f522e0f3be009b1da1f4fe2faa87a528495b169ef4bcffb57d6b78b9adb7955a
ray traced,wandering light,broad flashlight,smooth,halo,gold,glossy 3D,15.21,False,98b0a939a9088bf8d3b1da9b1d7ba54c1b3330282afc88ad819d2fad030d0381
ray traced,wandering light,broad flashlight,smooth,pulse,cool blue,metallic 3D,16.03,False,61c84cc7ba609ee356ac834d48a02f48d8bf294d46ac8619481deb5e737fbd65
ray traced,bouncing light,broad flashlight,smooth,none,violet,velvet 3D,15.951,False,3a886d8f41504df56d086023d76c4ed598fd6aa304c9e71046ee506d4cfcac2d
ray traced,bouncing light,broad flashlight,smooth,beacon,daylight,glass 3D,15.55,False,f0c1b2ac52ef3324d7ee98c48d1112bd317fc4153574aa23296da6beb0dce967
deep ray traced,selected gene,broad flashlight,smooth,none,neutral,flat,16.341,False,309eb965e2ec4cde3de9e567c01477cf873ff06abedc60e9912a708e728d85f3
deep ray traced,selected gene,broad flashlight,smooth,halo,gold,glossy 3D,15.198,False,aa1c64a48b25323097fe3093dcd50752aa2986fda9ef9d61aee9099088f6d8c6
deep ray traced,selected gene,broad flashlight,smooth,pulse,cool blue,metallic 3D,15.968,False,6bda731b4c2f0647540c988f38c8299001c88718c6434801264f618174ca1b5c
deep ray traced,selected gene and its edges,broad flashlight,smooth,none,violet,velvet 3D,30.311,False,54e07259735ad23bd42a1d27e6800ae9d8697cd871fedc16e68ea8aeedd5912f
deep ray traced,selected gene and its edges,broad flashlight,smooth,beacon,daylight,glass 3D,31.832,False,c16103a26c42a81331d8e87e2024d0e2bf49dce6999eb1528966fd4181c788e4
deep ray traced,wandering light,broad flashlight,smooth,none,neutral,flat,17.27,False,e517ebe8d1f1a3713ecca9b6959f709953975e0eed723b662ab56a9e293c5387
deep ray traced,wandering light,broad flashlight,smooth,halo,gold,glossy 3D,15.594,False,e6ccf24108707a2dcb6c5aeb88f158f8b6317936ca14a3df9f9f6f68687ebfaa
deep ray traced,wandering light,broad flashlight,smooth,pulse,cool blue,metallic 3D,15.927,False,8df380b19599f76c9acf2b671944d827b4d6aa3cec200911698b5702404c8e54
deep ray traced,bouncing light,broad flashlight,smooth,none,violet,velvet 3D,15.616,False,25ab2c8a1e6dab8cf25ec3e2718386c3f36bb2e216e2984c5739e25805b1b721
deep ray traced,bouncing light,broad flashlight,smooth,beacon,daylight,glass 3D,15.875,False,800a79f2021a5c754fa001d9a7316e03f6c3657bfef4351b8861ed8611801db8
