Gene ID	Gene Name or Symbol	Product Description	gene_source_id
TGME49_268950	N/A	hypothetical protein	TGME49_268950
TGME49_268960	AMPKbeta	5'-AMP-activated protein kinase subunit beta	TGME49_268960
TGME49_268970	N/A	hypothetical protein	TGME49_268970
TGME49_268980	N/A	hypothetical protein	TGME49_268980
TGME49_268985	N/A	hypothetical protein	TGME49_268985
TGME49_268990	N/A	hypothetical protein	TGME49_268990
TGME49_269000	N/A	ABC transporter family protein	TGME49_269000
TGME49_269010	AP2VIII7	AP2 domain transcription factor AP2VIII-7	TGME49_269010
TGME49_269020	N/A	hypothetical protein	TGME49_269020
TGME49_269060	N/A	inositol polyphosphate kinase, putative	TGME49_269060
TGME49_269085	N/A	hypothetical protein	TGME49_269085
TGME49_269110	N/A	ornithine aminotransferase, mitochondrial precursor, putative	TGME49_269110
TGME49_269120	N/A	oxidoreductase, putative	TGME49_269120
TGME49_269130	N/A	hypothetical protein	TGME49_269130
TGME49_269140	N/A	trafficking protein particle complex subunit 5, putative	TGME49_269140
TGME49_269150	DHHC9	palmitoyltransferase DHHC9	TGME49_269150
TGME49_269160	N/A	outer dynein arm docking complex protein ODA1, putative	TGME49_269160
TGME49_269170	N/A	hypothetical protein	TGME49_269170
TGME49_269175	N/A	U6 snRNA phosphodiesterase, putative	TGME49_269175
TGME49_269180	N/A	MIF4G domain-containing protein	TGME49_269180
TGME49_269190	GAPDH2	glyceraldehyde-3-phosphate dehydrogenase GAPDH2	TGME49_269190
TGME49_269200	N/A	crooked neck family 1 protein isoform 2, putative	TGME49_269200
TGME49_269210	N/A	hypothetical protein	TGME49_269210
TGME49_269228	N/A	tRNA-Lys	TGME49_269228
TGME49_269232	N/A	tRNA-Lys	TGME49_269232
TGME49_269240	N/A	actin-like family protein	TGME49_269240
TGME49_269250	N/A	Mov34/MPN/PAD-1 family protein	TGME49_269250
TGME49_269260	SCE1	suppressor of calcium-dependent egress SCE1	TGME49_269260
TGME49_269270	N/A	leucine rich repeat-containing protein	TGME49_269270
TGME49_269280	N/A	hypothetical protein	TGME49_269280
TGME49_269290	NUP503	nucleoporin NUP503	TGME49_269290
TGME49_269300	N/A	lipase	TGME49_269300
TGME49_269310	N/A	zinc finger (CCCH type) motif-containing protein	TGME49_269310
TGME49_269315	N/A	hypothetical protein	TGME49_269315
TGME49_269320	N/A	hypothetical protein	TGME49_269320
TGME49_269330	N/A	hypothetical protein	TGME49_269330
TGME49_269340	N/A	hypothetical protein	TGME49_269340
TGME49_269380	N/A	hypothetical protein	TGME49_269380
TGME49_269390	N/A	CRAL/TRIO domain-containing protein	TGME49_269390
TGME49_269400	N/A	oxidoreductase, short chain dehydrogenase/reductase family protein	TGME49_269400
TGME49_269410	N/A	hypothetical protein	TGME49_269410
TGME49_269417	N/A	hypothetical protein	TGME49_269417
TGME49_269420	N/A	hypothetical protein	TGME49_269420
TGME49_269425	N/A	hypothetical protein	TGME49_269425
TGME49_269430	COQ1	heptaprenyl diphosphate synthase COQ1	TGME49_269430
TGME49_269442	ELC1	essential light chain ELC1	TGME49_269442
TGME49_269450	N/A	hypothetical protein	TGME49_269450
TGME49_269460	BCC5	basal complex component BCC5	TGME49_269460
TGME49_269470	N/A	hypothetical protein	TGME49_269470
TGME49_269480	N/A	AP-4 complex subunit beta, putative	TGME49_269480
TGME49_269582	N/A	14-3-3 protein	TGME49_269582
TGME49_269600	N/A	biotin-requiring enzyme domain-containing protein	TGME49_269600
TGME49_269620	N/A	hypothetical protein	TGME49_269620
TGME49_269630	N/A	hypothetical protein	TGME49_269630
TGME49_269640	N/A	hypothetical protein	TGME49_269640
TGME49_269650	N/A	FFD and TFG box motifs protein	TGME49_269650
TGME49_269660	N/A	TFIIH basal transcription factor complex helicase XPB subunit	TGME49_269660
TGME49_269670	N/A	hypothetical protein	TGME49_269670
TGME49_269680	N/A	acyl-CoA carboxyltransferase beta chain, putative	TGME49_269680
TGME49_269690	GRA29	dense granule protein GRA29	TGME49_269690
TGME49_269700	N/A	NLI interacting factor family phosphatase	TGME49_269700
TGME49_269710	N/A	hypothetical protein	TGME49_269710
TGME49_269720	N/A	hypothetical protein	TGME49_269720
TGME49_269730	N/A	myosin-light-chain kinase	TGME49_269730
TGME49_269740	N/A	R3H domain-containing protein	TGME49_269740
TGME49_269750	N/A	CrcB family protein	TGME49_269750
TGME49_269760	N/A	'chromo' (CHRromatin Organization MOdifier) domain-containing protein	TGME49_269760
TGME49_269770	N/A	WD domain, G-beta repeat-containing protein	TGME49_269770
TGME49_269775	N/A	hypothetical protein	TGME49_269775
TGME49_269780	ARLX1	ADP-ribosylation factor-like protein ArlX1	TGME49_269780
TGME49_269790	N/A	tRNA-Pro	TGME49_269790
TGME49_269800	N/A	glutamine-dependent NAD(+) synthetase protein, putative	TGME49_269800
TGME49_269810	N/A	tRNA-Trp	TGME49_269810
TGME49_269820	N/A	tRNA-Met	TGME49_269820
TGME49_269830	RA15	RAP domain-binding protein RA15	TGME49_269830
TGME49_269840	N/A	proteasome regulatory subunit	TGME49_269840
TGME49_269850	N/A	protein c21orf59, putative	TGME49_269850
TGME49_269860	N/A	hypothetical protein	TGME49_269860
TGME49_269885	TLN1	rhoptry metalloprotease toxolysin TLN1	TGME49_269885
TGME49_269900	N/A	WD domain, G-beta repeat-containing protein	TGME49_269900
TGME49_269910	N/A	transcription factor C2H2, putative	TGME49_269910
TGME49_269920	N/A	phosphatidylserine decarboxylase	TGME49_269920
TGME49_269930	CBDP3	calcium-binding egf domain-containing protein CBDP3	TGME49_269930
TGME49_269940	N/A	zinc finger motif, C2HC5-type protein	TGME49_269940
TGME49_269950	GRA61	dense granule protein GRA61	TGME49_269950
TGME49_269960	IMC40	inner membrane complex protein IMC40	TGME49_269960
TGME49_269970	N/A	hypothetical protein	TGME49_269970
TGME49_269980	N/A	preprotein translocase Sec61, putative	TGME49_269980
TGME49_269990	N/A	hypothetical protein	TGME49_269990
TGME49_270000	N/A	NAD dependent epimerase/dehydratase family protein	TGME49_270000
TGME49_270010	N/A	hypothetical protein	TGME49_270010
TGME49_270020	N/A	hypothetical protein	TGME49_270020
TGME49_270030	N/A	hypothetical protein	TGME49_270030
TGME49_270040	N/A	hypothetical protein	TGME49_270040
TGME49_270050	N/A	hypothetical protein	TGME49_270050
TGME49_270060	N/A	hypothetical protein	TGME49_270060
TGME49_270070	SEC22	protein transport protein SEC22, putative	TGME49_270070
TGME49_270090	N/A	hypothetical protein	TGME49_270090
TGME49_270100	N/A	oxidoreductase, aldo/keto reductase family protein	TGME49_270100
TGME49_270110	N/A	tRNA-Leu	TGME49_270110
TGME49_270120	TLP1	thioredoxin-like protein TLP1	TGME49_270120
TGME49_270140	DIM1	splicing factor DIM1, putative	TGME49_270140
TGME49_270150	N/A	hypothetical protein	TGME49_270150
TGME49_270160	N/A	hypothetical protein	TGME49_270160
TGME49_270170	N/A	hypothetical protein	TGME49_270170
TGME49_270180	N/A	tRNA-Pro	TGME49_270180
TGME49_270190	PPM18	protein phosphatase PPM18	TGME49_270190
TGME49_270200	N/A	transporter, major facilitator family protein	TGME49_270200
TGME49_270210	N/A	kinesin motor domain-containing protein	TGME49_270210
TGME49_270220	N/A	hypothetical protein	TGME49_270220
TGME49_270230	N/A	hypothetical protein	TGME49_270230
TGME49_270240	MAG1	MAG1	TGME49_270240
TGME49_270250	GRA1	dense granule protein GRA1	TGME49_270250
TGME49_270260	N/A	hypothetical protein	TGME49_270260
TGME49_270270	N/A	TMEM33 domain-containing protein	TGME49_270270
TGME49_270273	N/A	hypothetical protein	TGME49_270273
TGME49_270277	N/A	hypothetical protein	TGME49_270277
TGME49_270280	N/A	hypothetical protein	TGME49_270280
TGME49_270290	N/A	hypothetical protein	TGME49_270290
TGME49_270300	N/A	RING zinc finger protein	TGME49_270300
TGME49_270310	mACP	acyl carrier protein, mitochondrial	TGME49_270310
TGME49_270320	PPM3C	protein phosphatase PPM3C	TGME49_270320
TGME49_270330	CDK7	cyclin-dependent kinase CDK7	TGME49_270330
TGME49_270340	N/A	BTB/POZ domain-containing protein	TGME49_270340
TGME49_270350	N/A	hypothetical protein	TGME49_270350
TGME49_270360	N/A	ATP synthase-associated protein	TGME49_270360
TGME49_270370	N/A	AP-1 complex subunit sigma, putative	TGME49_270370
TGME49_270380	RPS13	ribosomal protein RPS13	TGME49_270380
TGME49_270450	N/A	MCM2/3/5 family protein	TGME49_270450
TGME49_270510	N/A	asparaginyl-tRNA synthetase (NOB+tRNA synthase)	TGME49_270510
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270520	N/A	hypothetical protein	TGME49_270520
TGME49_270530	UFD1CY	ubiquitin fusion degradation protein UFD1CY	TGME49_270530
TGME49_270540	N/A	Trm112p family domain-containing protein	TGME49_270540
TGME49_270550	N/A	gamma-glutamyl phosphate reductase, putative	TGME49_270550
TGME49_270560	N/A	peptidyl-prolyl cis-trans isomerase family 1	TGME49_270560
TGME49_270570	N/A	hypothetical protein	TGME49_270570
TGME49_270610	N/A	hypothetical protein	TGME49_270610
TGME49_270620	N/A	DEAD/DEAH box helicase domain-containing protein	TGME49_270620
TGME49_270630	N/A	hypothetical protein	TGME49_270630
TGME49_270640	SR4	serine/arginine-rich splicing factor SR4	TGME49_270640
TGME49_270650	N/A	deoxyribose-phosphate aldolase	TGME49_270650
TGME49_270655	N/A	hypothetical protein	TGME49_270655
TGME49_270660	N/A	hypothetical protein	TGME49_270660
TGME49_270670	N/A	hypothetical protein	TGME49_270670
TGME49_270680	N/A	hypothetical protein	TGME49_270680
TGME49_270690	DRPC	dynamin-related protein DRPC	TGME49_270690
TGME49_270700	MYR2	membrane protein MYR2	TGME49_270700
TGME49_270710	N/A	WW domain binding protein 11	TGME49_270710
TGME49_270720	N/A	hypothetical protein	TGME49_270720
TGME49_270740	N/A	Cwf15/Cwc15 cell cycle control protein	TGME49_270740
TGME49_270750	N/A	hypothetical protein	TGME49_270750
TGME49_270760	N/A	asparagine synthase	TGME49_270760
TGME49_270770	N/A	PWI domain-containing protein	TGME49_270770
TGME49_270780	POLR2F	DNA-directed RNA polymerase II RPB6	TGME49_270780
TGME49_270790	N/A	hypothetical protein	TGME49_270790
TGME49_270800	N/A	GAF domain-containing protein	TGME49_270800
TGME49_270805	N/A	hypothetical protein	TGME49_270805
TGME49_270810	N/A	hypothetical protein	TGME49_270810
TGME49_270820	N/A	hypothetical protein	TGME49_270820
TGME49_270830	N/A	small nuclear ribonucleoprotein	TGME49_270830
TGME49_270840	N/A	poly(ADP-ribose) polymerase catalytic domain-containing protein	TGME49_270840
TGME49_270850	N/A	glycosyl hydrolases family 17 protein	TGME49_270850
TGME49_270865	N/A	adenylate cyclase beta	TGME49_270865
TGME49_270880	N/A	RNA recognition motif-containing protein	TGME49_270880
TGME49_270890	N/A	hypothetical protein	TGME49_270890
TGME49_270900	N/A	ATPase, AAA family protein	TGME49_270900
TGME49_270910	ATS1	glycerol 3-phosphate acyltransferase ATS1	TGME49_270910
TGME49_270920	ROP32	rhoptry kinase family protein ROP32	TGME49_270920
TGME49_270930	N/A	THO complex subunit 2, putative	TGME49_270930
TGME49_270940	N/A	hypothetical protein	TGME49_270940
TGME49_270950	N/A	hypothetical protein	TGME49_270950
TGME49_270960	N/A	U3 small nucleolar RNA-associated protein 25, putative	TGME49_270960
TGME49_270975	N/A	hypothetical protein	TGME49_270975
TGME49_270980	N/A	phosphoglycerate mutase family protein	TGME49_270980
TGME49_271000	N/A	hypothetical protein	TGME49_271000
TGME49_271010	N/A	hypothetical protein	TGME49_271010
TGME49_271015	N/A	hypothetical protein	TGME49_271015
TGME49_271025	N/A	hypothetical protein	TGME49_271025
TGME49_271030	AP2VIII6	AP2 domain transcription factor AP2VIII-6	TGME49_271030
TGME49_271040	N/A	hypothetical protein	TGME49_271040
TGME49_271050	SAG2A	SAG-related sequence SRS34A	TGME49_271050
TGME49_271060	VPS45	vacuolar protein sorting-associated protein 45	TGME49_271060
TGME49_271070	OTUD6A	OTU domain-containing protein OTUD6A	TGME49_271070
TGME49_271080	N/A	hypothetical protein	TGME49_271080
TGME49_271090	N/A	hypothetical protein	TGME49_271090
TGME49_271100	N/A	NUC153 domain-containing protein	TGME49_271100
TGME49_271110	N/A	hypothetical protein	TGME49_271110
TGME49_271115	N/A	hypothetical protein	TGME49_271115
TGME49_271120	N/A	endonuclease/exonuclease/phosphatase family protein	TGME49_271120
TGME49_271145	N/A	hypothetical protein	TGME49_271145
TGME49_271170	N/A	dolichol kinase	TGME49_271170
TGME49_271174	N/A	hypothetical protein	TGME49_271174
TGME49_271190	BIN3	bicoid-interacting protein BIN3	TGME49_271190
TGME49_271200	AP2VIII5	AP2 domain transcription factor AP2VIII-5	TGME49_271200
TGME49_271210	N/A	4-alpha-glucanotransferase	TGME49_271210
TGME49_271220	N/A	hypothetical protein	TGME49_271220
TGME49_271240	N/A	hypothetical protein	TGME49_271240
TGME49_271250	N/A	KH domain-containing protein	TGME49_271250
TGME49_271260	N/A	hypothetical protein	TGME49_271260
TGME49_271270	N/A	hypothetical protein	TGME49_271270
TGME49_271280	N/A	60S ribosome subunit biogenesis protein NIP7, putative	TGME49_271280
TGME49_271285	N/A	leucine rich repeat-containing protein	TGME49_271285
TGME49_271290	N/A	hypothetical protein	TGME49_271290
TGME49_271300	POLR2G	DNA-directed RNA polymerase II RPB7	TGME49_271300
TGME49_271320	N/A	hypothetical protein	TGME49_271320
TGME49_271335	N/A	hypothetical protein	TGME49_271335
TGME49_271350	N/A	bifunctional protein FolC subfamily protein	TGME49_271350
TGME49_271360	N/A	hypothetical protein	TGME49_271360
TGME49_271370	N/A	hypothetical protein	TGME49_271370
TGME49_271375	N/A	hypothetical protein	TGME49_271375
TGME49_271380	N/A	PUB domain-containing protein	TGME49_271380
TGME49_271390	UTP11	U3 small nucleolar RNA-associated protein 11, putative	TGME49_271390
TGME49_271400	N/A	hypothetical protein	TGME49_271400
TGME49_271410	N/A	hypothetical protein	TGME49_271410
TGME49_271420	N/A	porphobilinogen deaminase	TGME49_271420
TGME49_271430	N/A	hypothetical protein	TGME49_271430
TGME49_271440	N/A	nuclear protein localization protein 4, putative	TGME49_271440
TGME49_271460	N/A	protein c14orf29, putative	TGME49_271460
TGME49_271470	N/A	hypothetical protein	TGME49_271470
TGME49_271570	N/A	Toxoplasma gondii family D protein	TGME49_271570
TGME49_271580	N/A	Toxoplasma gondii family D protein	TGME49_271580
TGME49_271590	N/A	Toxoplasma gondii family D protein	TGME49_271590
TGME49_271600	N/A	hypothetical protein	TGME49_271600
TGME49_271610	N/A	pyrroline-5-carboxylate reductase	TGME49_271610
TGME49_271625	N/A	serine--tRNA ligase	TGME49_271625
TGME49_271740	N/A	zinc finger protein, putative	TGME49_271740
TGME49_271750	N/A	EF hand domain-containing protein	TGME49_271750
TGME49_271760	N/A	seryl-tRNA synthetase (SerRS2)	TGME49_271760
TGME49_271770	N/A	hypothetical protein	TGME49_271770
TGME49_271780	N/A	Filamin/ABP280 repeat-containing protein	TGME49_271780
TGME49_271790	N/A	hypothetical protein	TGME49_271790
TGME49_271800	N/A	serine esterase (DUF676) protein	TGME49_271800
TGME49_271810	N/A	lanp, putative	TGME49_271810
TGME49_271820	N/A	lipoate-protein ligase 1, putative	TGME49_271820
TGME49_271830	N/A	tRNA-Arg	TGME49_271830
TGME49_271840	N/A	RAP domain-containing protein	TGME49_271840
TGME49_271850	N/A	hypothetical protein	TGME49_271850
TGME49_271860	N/A	tRNA (Uracil-5-)-methyltransferase	TGME49_271860
TGME49_271870	N/A	zinc carboxypeptidase superfamily protein	TGME49_271870
TGME49_271880	PCR7	preconoidal ring protein PCR7	TGME49_271880
TGME49_271888	N/A	3-ketoacyl-CoA reductase, putative	TGME49_271888
TGME49_271891	N/A	tRNA-Glu	TGME49_271891
TGME49_271892	N/A	hypothetical protein	TGME49_271892
TGME49_271910	N/A	DnaJ domain-containing protein	TGME49_271910
TGME49_271920	N/A	hypothetical protein	TGME49_271920
TGME49_271930	IMC20	inner membrane complex protein IMC20	TGME49_271930
TGME49_271935	N/A	hypothetical protein	TGME49_271935
TGME49_271950	N/A	hypothetical protein	TGME49_271950
TGME49_271960	HAD2C	haloacid dehalogenase-like hydrolase, putative	TGME49_271960
TGME49_271970	GAPM3	glideosome-associated protein with multiple-membrane spans GAPM3	TGME49_271970
TGME49_271980	SRS32	SAG-related sequence SRS32	TGME49_271980
TGME49_271985	N/A	hypothetical protein	TGME49_271985
TGME49_271990	N/A	hypothetical protein	TGME49_271990
TGME49_272000	N/A	hypothetical protein	TGME49_272000
TGME49_272010	N/A	Gar1 protein RNA binding region protein	TGME49_272010
TGME49_272020	N/A	hypothetical protein	TGME49_272020
TGME49_272030	N/A	kelch repeat-containing protein	TGME49_272030
TGME49_272040	N/A	WD domain, G-beta repeat-containing protein	TGME49_272040
TGME49_272155	N/A	hypothetical protein	TGME49_272155
TGME49_272180	N/A	3-oxo-5-alpha-steroid 4-dehydrogenase	TGME49_272180
TGME49_272190	N/A	hypothetical protein	TGME49_272190
TGME49_272200	N/A	AGC kinase	TGME49_272200
TGME49_272210	N/A	RNA methyltransferase, putative	TGME49_272210
TGME49_272220	N/A	tRNA-Gln	TGME49_272220
TGME49_272230	N/A	heat shock protein hslv, putative	TGME49_272230
TGME49_272240	N/A	Toxoplasma gondii family D protein	TGME49_272240
TGME49_272260	N/A	Dpy-30 motif protein	TGME49_272260
TGME49_272265	N/A	hypothetical protein	TGME49_272265
TGME49_272270	N/A	radical SAM domain-containing protein	TGME49_272270
TGME49_272280	PPM5A	protein phosphatase PPM5A	TGME49_272280
TGME49_272285	N/A	tetratricopeptide repeat-containing protein	TGME49_272285
TGME49_272290	PDHE1B	pyruvate dehydrogenase complex subunit PD-HE1Beta	TGME49_272290
TGME49_272300	N/A	hypothetical protein	TGME49_272300
TGME49_272320	DHHC17	palmitoyltransferase DHHC17	TGME49_272320
TGME49_272340	N/A	hypothetical protein	TGME49_272340
TGME49_272350	N/A	mRNA export protein	TGME49_272350
TGME49_272360	N/A	EF hand family protein	TGME49_272360
TGME49_272370	TRG	tartrolon E responsive gene	TGME49_272370
TGME49_272380	N/A	hypothetical protein	TGME49_272380
TGME49_272383	N/A	hypothetical protein	TGME49_272383
TGME49_272390	TOC75	protein TOC75	TGME49_272390
TGME49_272400	N/A	casein kinase ii regulatory subunit protein	TGME49_272400
TGME49_272410	N/A	phosphogluconate dehydrogenase (decarboxylating), NAD binding domain-containing protein	TGME49_272410
TGME49_272415	N/A	hypothetical protein	TGME49_272415
TGME49_272420	LCAT	phosphatidylcholine-sterol acyltransferase	TGME49_272420
TGME49_272430	PLP2	perforin-like protein PLP2	TGME49_272430
TGME49_272440	N/A	RNA recognition motif-containing protein	TGME49_272440
TGME49_272450	N/A	hypothetical protein	TGME49_272450
TGME49_272460	GRA72	dense granule protein GRA72	TGME49_272460
TGME49_272475	N/A	protein kinase domain-containing protein	TGME49_272475
TGME49_272490	N/A	protoporphyrinogen oxidase	TGME49_272490
TGME49_272500	ST2	sugar transporter ST2	TGME49_272500
TGME49_272510	ASP6	aspartyl protease ASP6	TGME49_272510
TGME49_272520	TSC4	transverse sutures component TSC4	TGME49_272520
TGME49_272530	N/A	hypothetical protein	TGME49_272530
TGME49_272540	N/A	protein kinase (incomplete catalytic triad)	TGME49_272540
TGME49_272550	N/A	hypothetical protein	TGME49_272550
TGME49_272560	SRS31B	SAG-related sequence SRS31B	TGME49_272560
TGME49_272570	N/A	dihydrouridine synthase (dus) protein	TGME49_272570
TGME49_272580	N/A	tRNA-Asp	TGME49_272580
TGME49_272590	N/A	hypothetical protein	TGME49_272590
TGME49_272593	N/A	hypothetical protein	TGME49_272593
TGME49_272595	N/A	hypothetical protein	TGME49_272595
TGME49_272600	KAE	K13 complex-associated alpha-ear containing protein KAE	TGME49_272600
TGME49_272620	N/A	hypothetical protein	TGME49_272620
TGME49_272630	N/A	U6 snRNA-associated Sm family protein LSm8, putative	TGME49_272630
TGME49_272640	N/A	eukaryotic initiation factor-2B, epsilon subunit, putative	TGME49_272640
TGME49_272650	PDE10	3'5'-cyclic nucleotide phosphodiesterase PDE10	TGME49_272650
TGME49_272660	N/A	hypothetical protein	TGME49_272660
TGME49_272670	OCT1	mitochondrial intermediate peptidase, putative	TGME49_272670
TGME49_272680	N/A	hypothetical protein	TGME49_272680
TGME49_272695	N/A	hypothetical protein	TGME49_272695
TGME49_272710	AP2VIII4	AP2 domain transcription factor AP2VIII-4	TGME49_272710
TGME49_272720	N/A	methyltransferase domain-containing protein	TGME49_272720
TGME49_272730	N/A	hypothetical protein	TGME49_272730
TGME49_272740	POLR3B	DNA-directed RNA polymerase III RPC2	TGME49_272740
TGME49_272760	N/A	hypothetical protein	TGME49_272760
TGME49_272770	N/A	LTV1 domain-containing protein	TGME49_272770
TGME49_272890	N/A	RNA recognition motif-containing protein	TGME49_272890
TGME49_272900	RAD51	DNA repair protein RAD51	TGME49_272900
TGME49_272905	N/A	hypothetical protein	TGME49_272905
TGME49_272910	N/A	T-complex protein 1 delta subunit	TGME49_272910
TGME49_273020	N/A	hypothetical protein	TGME49_273020
TGME49_273030	PGM1	phosphoglycerate mutase PGM1	TGME49_273030
TGME49_273040	N/A	hypothetical protein	TGME49_273040
TGME49_273050	BCC8	basal complex component BCC8	TGME49_273050
TGME49_273060	N/A	ribosomal protein S17, putative	TGME49_273060
TGME49_273065	N/A	hypothetical protein	TGME49_273065
TGME49_273070	N/A	GTPase activating protein for adp ribosylation factor, putative	TGME49_273070
TGME49_273075	N/A	hypothetical protein	TGME49_273075
TGME49_273080	N/A	hypothetical protein	TGME49_273080
TGME49_273090	CDC48CY	cell division protein CDC48CY	TGME49_273090
TGME49_273100	N/A	3'-5' exonuclease domain-containing protein	TGME49_273100
TGME49_273110	SRS30D	SAG-related sequence SRS30D	TGME49_273110
TGME49_273120	SRS30C	SAG-related sequence SRS30C	TGME49_273120
TGME49_273130	SRS30A	SAG-related sequence SRS30A	TGME49_273130
TGME49_273140	N/A	radical SAM methylthiotransferase, MiaB/RimO family protein	TGME49_273140
TGME49_273150	N/A	zinc finger, C3HC4 type (RING finger) domain-containing protein	TGME49_273150
TGME49_273200	N/A	hypothetical protein	TGME49_273200
TGME49_273280	N/A	hypothetical protein	TGME49_273280
TGME49_273290	N/A	Mpv17 / PMP22 family protein	TGME49_273290
TGME49_273300	N/A	hypothetical protein	TGME49_273300
TGME49_273310	N/A	hypothetical protein	TGME49_273310
TGME49_273320	N/A	hypothetical protein	TGME49_273320
TGME49_273330	N/A	hypothetical protein	TGME49_273330
TGME49_273340	N/A	hypothetical protein	TGME49_273340
TGME49_273350	N/A	molybdopterin converting factor, subunit 2 protein	TGME49_273350
TGME49_273360	N/A	ABC transporter transmembrane region domain-containing protein	TGME49_273360
TGME49_273370	N/A	coatomer gamma 2-subunit protein, putative	TGME49_273370
TGME49_273380	N/A	ion channel protein	TGME49_273380
TGME49_273390	N/A	mitochondrial carrier superfamily protein	TGME49_273390
TGME49_273400	N/A	hypothetical protein	TGME49_273400
TGME49_273410	N/A	tyrosine-tRNA ligase	TGME49_273410
TGME49_273420	N/A	tRNA-Arg	TGME49_273420
TGME49_273430	N/A	SAM-dependent methyltransferase	TGME49_273430
TGME49_273445	SUFD	iron-sulfur cluster assembly protein SufD	TGME49_273445
TGME49_273460	N/A	eukaryotic translation initiation factor 3 subunit 6 interacting protein	TGME49_273460
TGME49_273490	N/A	glutamine synthetase, type I, putative	TGME49_273490
TGME49_273500	SPY	O-linked N-acetylglucosamine transferase SPINDLY	TGME49_273500
TGME49_273510	N/A	hypothetical protein	TGME49_273510
TGME49_273520	N/A	eukaryotic translation initiation factor 3 subunit E, putative	TGME49_273520
TGME49_273530	N/A	flagellar associated protein	TGME49_273530
TGME49_273540	N/A	phosphatidylserine synthase, putative	TGME49_273540
TGME49_273550	POFUT2	GDP-fucose protein O-fucosyltransferase 2	TGME49_273550
TGME49_273560	N/A	kinesin heavy chain, putative	TGME49_273560
TGME49_273580	COG2	conserved oligomeric Golgi complex subunit 2	TGME49_273580
TGME49_273595	N/A	hypothetical protein	TGME49_273595
TGME49_273610	N/A	hypothetical protein	TGME49_273610
TGME49_273630	N/A	DnaJ domain-containing protein	TGME49_273630
TGME49_273640	N/A	hypothetical protein	TGME49_273640
TGME49_273650	N/A	kinesin B	TGME49_273650
TGME49_273660	AP2VIII3	AP2 domain transcription factor AP2VIII-3	TGME49_273660
TGME49_273670	N/A	hypothetical protein	TGME49_273670
TGME49_273690	N/A	Wee kinase	TGME49_273690
TGME49_273705	N/A	hypothetical protein	TGME49_273705
TGME49_273720	N/A	hypothetical protein	TGME49_273720
TGME49_273730	N/A	phospholipase, patatin family protein	TGME49_273730
TGME49_273740	N/A	acetyl-CoA acyltransferase B, putative	TGME49_273740
TGME49_273750	N/A	hypothetical protein	TGME49_273750
TGME49_273760	HSP70	heat shock protein HSP70	TGME49_273760
TGME49_273770	SELQ	selenoprotein Q, putative	TGME49_273770
TGME49_273780	N/A	SWI2/SNF2-containing protein	TGME49_273780
TGME49_273790	N/A	hypothetical protein	TGME49_273790
TGME49_273800	N/A	WD domain, G-beta repeat-containing protein	TGME49_273800
TGME49_273815	N/A	hypothetical protein	TGME49_273815
TGME49_273830	N/A	hypothetical protein	TGME49_273830
TGME49_273840	N/A	brix domain-containing protein	TGME49_273840
TGME49_273850	NUP68	nucleoporin NUP68, putative	TGME49_273850
TGME49_273860	N/A	hypothetical protein	TGME49_273860
TGME49_273870	N/A	SWI2/SNF2 ISWI-like (AT hook)	TGME49_273870
TGME49_273885	N/A	hypothetical protein	TGME49_273885
TGME49_273905	N/A	armadillo repeat-containing protein	TGME49_273905
TGME49_273915	N/A	hypothetical protein	TGME49_273915
TGME49_273920	N/A	aldose reductase, putative	TGME49_273920
TGME49_273930	N/A	DNA topoisomerase domain-containing protein	TGME49_273930
TGME49_273950	N/A	replication factor C subunit 5, putative	TGME49_273950
TGME49_273960	N/A	chaperonin GroS protein	TGME49_273960
TGME49_273970	N/A	CorA family Mg2+ transporter protein	TGME49_273970
