Gene ID	Gene Name or Symbol	Product Description	gene_source_id
TGME49_202750	N/A	3' exoribonuclease family, domain 1 domain-containing protein	TGME49_202750
TGME49_202760	N/A	hypothetical protein	TGME49_202760
TGME49_202770	N/A	RNA recognition motif-containing protein	TGME49_202770
TGME49_202780	ROP25	rhoptry kinase family protein ROP25	TGME49_202780
TGME49_202790	N/A	dihydrouridine synthase (dus) protein	TGME49_202790
TGME49_202800	N/A	cytochrome c oxidase assembly protein COX11 protein, putative	TGME49_202800
TGME49_202810	PAM18	mitochondrial import inner membrane translocase subunit TIM14	TGME49_202810
TGME49_202820	N/A	ubiquitin-conjugating enzyme subfamily protein	TGME49_202820
TGME49_202830	N/A	Elicitor-responsive protein, putative	TGME49_202830
TGME49_202840	N/A	FHA domain-containing protein	TGME49_202840
TGME49_202850	N/A	ATP-binding domain-containing protein	TGME49_202850
TGME49_202860	N/A	hypothetical protein	TGME49_202860
TGME49_202870	N/A	SAP domain-containing protein	TGME49_202870
TGME49_202880	N/A	carrier superfamily protein	TGME49_202880
TGME49_202890	N/A	hypothetical protein	TGME49_202890
TGME49_202895	N/A	tRNA-Met	TGME49_202895
TGME49_202900	N/A	zinc finger (CCCH type) motif-containing protein	TGME49_202900
TGME49_202910	N/A	zinc carboxypeptidase superfamily protein	TGME49_202910
TGME49_202920	N/A	p-aminobenzoic acid synthase	TGME49_202920
TGME49_202930	ISC5	IMC sutures component ISC5	TGME49_202930
TGME49_202940	N/A	hypothetical protein	TGME49_202940
TGME49_202950	N/A	hypothetical protein	TGME49_202950
TGME49_202960	N/A	glycine cleavage H-protein	TGME49_202960
TGME49_202970	N/A	hypothetical protein	TGME49_202970
TGME49_202975	N/A	hypothetical protein	TGME49_202975
TGME49_202980	N/A	hypothetical protein	TGME49_202980
TGME49_203010	ARK3	aurora-related kinase ARK3	TGME49_203010
TGME49_203020	N/A	ribosome biogenesis GTPase Der protein	TGME49_203020
TGME49_203030	N/A	N-methyl-D-aspartate receptor-associated protein	TGME49_203030
TGME49_203040	N/A	hypothetical protein	TGME49_203040
TGME49_203050	AP2VIIA6	AP2 domain transcription factor AP2VIIa-6	TGME49_203050
TGME49_203060	N/A	hypothetical protein	TGME49_203060
TGME49_203070	N/A	hypothetical protein	TGME49_203070
TGME49_203080	N/A	RNA recognition motif-containing protein	TGME49_203080
TGME49_203090	N/A	hypothetical protein	TGME49_203090
TGME49_203100	N/A	hypothetical protein	TGME49_203100
TGME49_203110	N/A	citrate synthase, putative	TGME49_203110
TGME49_203120	N/A	hypothetical protein	TGME49_203120
TGME49_203135	N/A	dynein heavy chain family protein	TGME49_203135
TGME49_203150	N/A	hypothetical protein	TGME49_203150
TGME49_203160	N/A	hypothetical protein	TGME49_203160
TGME49_203170	N/A	OB-fold nucleic acid binding domain-containing protein	TGME49_203170
TGME49_203180	N/A	leucine rich repeat-containing protein	TGME49_203180
TGME49_203200	N/A	hypothetical protein	TGME49_203200
TGME49_203220	N/A	DEAD/DEAH box helicase domain-containing protein	TGME49_203220
TGME49_203230	N/A	hypothetical protein	TGME49_203230
TGME49_203240	N/A	hypothetical protein	TGME49_203240
TGME49_203250	N/A	hypothetical protein	TGME49_203250
TGME49_203260	N/A	cell cycle checkpoint protein RAD17, putative	TGME49_203260
TGME49_203270	N/A	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP domain-containing protein	TGME49_203270
TGME49_203280	N/A	hypothetical protein	TGME49_203280
TGME49_203290	GRA34	dense granule protein GRA34	TGME49_203290
TGME49_203300	N/A	DUF726 domain-containing protein	TGME49_203300
TGME49_203310	GRA7	dense granule protein GRA7	TGME49_203310
TGME49_203320	N/A	zinc finger in N-recognin protein	TGME49_203320
TGME49_203330	N/A	hypothetical protein	TGME49_203330
TGME49_203340	N/A	metallo-beta-lactamase domain-containing protein	TGME49_203340
TGME49_203350	N/A	hypothetical protein	TGME49_203350
TGME49_203358	ICAP10	hypothetical protein	TGME49_203358
TGME49_203362	ICAP5	prefoldin, putative	TGME49_203362
