task,method,features,bin_lower,count,mean_confidence,accuracy
compartment,neighbors,published,0.0,53,0.09454990630317243,0.1320754716981132
compartment,neighbors,published,0.1,2932,0.15307580892670428,0.3407230559345157
compartment,neighbors,published,0.2,796,0.23168269570640573,0.5628140703517588
compartment,neighbors,published,0.3,40,0.32924749677659,0.85
compartment,neighbors,published,0.4,6,0.4100106432371902,1.0
compartment,pca,published,0.0,117,0.09412216737713247,0.18803418803418803
compartment,pca,published,0.1,3289,0.14712614924624845,0.33961690483429613
compartment,pca,published,0.2,409,0.22925244415702398,0.5599022004889975
compartment,pca,published,0.3,11,0.3392285711595846,0.45454545454545453
compartment,pca,published,0.4,1,0.4850660534273215,1.0
compartment,prior,published,0.1,2550,0.18793516309882838,0.2011764705882353
compartment,prior,published,0.2,1277,0.20220644498899912,0.2004698512137823
compartment,umap,published,0.0,122,0.09363880660481427,0.16393442622950818
compartment,umap,published,0.1,3386,0.14209549177894804,0.29356172474896636
compartment,umap,published,0.2,292,0.22707320079899462,0.565068493150685
compartment,umap,published,0.3,27,0.3277408470874605,0.8888888888888888
compartment,umap,published_3d,0.0,129,0.09525790013369666,0.10077519379844961
compartment,umap,published_3d,0.1,3351,0.14210663462753484,0.28976424947776785
compartment,umap,published_3d,0.2,311,0.22803191197678963,0.5048231511254019
compartment,umap,published_3d,0.3,32,0.32332756806777957,0.71875
compartment,umap,published_3d,0.4,4,0.4441934524397063,0.75
