gene_id	mrna_remaining_5h_actinomycin
TGME49_257568	0.3578935968531567
TGME49_257572	0.25956821688389026
TGME49_258140	0.45380350513517437
TGME49_258480	0.2390940188219787
TGME49_258540	0.45880413782064505
TGME49_260830	0.3153438597376148
TGME49_262110	0.4555837063512557
TGME49_262890	0.24986103472209495
TGME49_262940	0.32137239612961666
TGME49_263300	0.7466100514655866
TGME49_263670	0.5929990658646083
TGME49_263730	0.608915883600354
TGME49_264170	0.18718645819043359
TGME49_264740	0.19938180984265344
TGME49_264940	0.37057629544998344
TGME49_265030	0.7282520371470319
TGME49_265175	0.150126604306595
TGME49_265530	0.608520628299059
TGME49_265840	0.35631175461197745
TGME49_266290	0.5069424959194953
TGME49_266368	0.29753314680439935
TGME49_266380	0.7324395673515592
TGME49_266910	0.6085988471996143
TGME49_266920	0.18901076215474263
TGME49_266960	0.5125831510294939
TGME49_266980	0.485779385623696
TGME49_267000	0.42751825296051466
TGME49_267600	0.3986832479852622
TGME49_267980	0.4692890541523857
TGME49_268170	0.6672439105356712
TGME49_268570	0.5937596428765376
TGME49_269430	0.45344024498959623
TGME49_270230	0.6391864048858859
TGME49_270260	0.2238992306495519
TGME49_271450	0.34280667756379973
TGME49_272370	0.3774096842133538
TGME49_272680	0.21445324294271154
TGME49_272730	0.3383791884665917
TGME49_273300	0.3610062227148811
TGME49_275480	0.03050030766556336
TGME49_275670	0.23282048305732114
TGME49_276170	0.30906681209529246
TGME49_276890	0.7315475786800468
TGME49_277150	0.4864133642682151
TGME49_277490	0.6789012452706418
TGME49_277500	0.5117467658925413
TGME49_277740	0.40297499708114876
TGME49_277780	0.5575012227540882
TGME49_277870	0.31016329010784655
TGME49_278205	0.5075339684904795
TGME49_278600	0.6564973602523594
TGME49_278740	0.45299006400479946
TGME49_278930	0.5665256496382316
TGME49_279100	0.3804786984091193
TGME49_280470	0.25230535934639614
TGME49_280500	0.6066295335014348
TGME49_280580	0.1925515845449303
TGME49_280660	0.3758829346806296
TGME49_281460	0.27392425806192355
TGME49_281910	0.5181991150009536
TGME49_282130	0.6707862930293942
TGME49_282160	0.5186154559219492
TGME49_283585	0.5490963382384574
TGME49_283820	0.690803546308805
TGME49_284530	0.30595847470267495
TGME49_285700	0.2858469789938329
TGME49_286090	0.19688367545591443
TGME49_286595	0.10231643668836632
TGME49_287210	0.41825156297204963
TGME49_287990	0.4504525555717039
TGME49_288370	0.17810370097060493
TGME49_288380	0.6525728389281077
TGME49_288520	0.7118662407578128
TGME49_288590	0.27885697772436996
TGME49_288620	0.15739056437159163
TGME49_288630	0.7133526337157003
TGME49_289660	0.4042366411533597
TGME49_289670	0.4540414762883356
TGME49_289680	0.641435808116066
TGME49_290250	0.19108542695213393
TGME49_290670	0.3877464704538065
TGME49_290678	0.7264299717118033
TGME49_291170	0.36766848211016767
TGME49_291600	0.13586159449376053
TGME49_291880	0.49903271953753375
TGME49_292290	0.5871520613093139
TGME49_292975	0.6777599832100029
TGME49_293020	0.6264680044824219
TGME49_293030	0.46158993991788827
TGME49_293550	0.5499475406695011
TGME49_293900	0.09009884214169996
TGME49_294010	0.34270381444732195
TGME49_294630	0.6479655358052141
TGME49_294820	0.747527228424957
TGME49_294830	0.5733778945690865
TGME49_294840	0.7366592126074055
TGME49_294930	0.45553870671265173
TGME49_295430	0.6887065999845943
TGME49_295935	0.5071997248570529
TGME49_296010	0.43607970361127446
TGME49_297310	0.6094138618717744
TGME49_297520	0.4040553561379772
TGME49_297780	0.7383819644647645
TGME49_297925	0.6328463262820365
TGME49_298830	0.31427184793210733
TGME49_299780	0.11565910753166464
TGME49_299790	0.6175754777985722
TGME49_300048	0.390213177963562
TGME49_300160	0.20299356350584583
TGME49_300200	0.6849915666356727
TGME49_300270	0.5593460421710436
TGME49_300285	0.5207101136485036
TGME49_301270	0.2189121734807001
TGME49_301400	0.1937716935098245
TGME49_301450	0.7300232202634369
TGME49_304630	0.34220011394547917
TGME49_304730	0.4045262767566969
TGME49_305455	0.5942485407257406
TGME49_305460	0.5875949409232485
TGME49_306040	0.6048518037789176
TGME49_306380	0.26884901977859466
TGME49_306450	0.5672520703295503
TGME49_306550	0.3414995359723643
TGME49_306900	0.25386046624983766
TGME49_307790	0.42696848791812037
TGME49_308060	0.34793838579134473
TGME49_309210	0.2291418034312367
TGME49_309265	0.6103158221533399
TGME49_309410	0.20266670641057669
TGME49_309590	0.6754532985399035
TGME49_309770	0.5548148074467436
TGME49_309980	0.46321391591292066
TGME49_310150	0.7380124287393225
TGME49_310380	0.7349991154408012
TGME49_310455	0.2856716236160284
TGME49_310515	0.6094024491470016
TGME49_310650	0.6235535900696697
TGME49_311300	0.2866143662275868
TGME49_311335	0.31081417533434413
TGME49_311425	0.5726712495544527
TGME49_311800	0.705420823618395
TGME49_312050	0.34337203545659833
TGME49_312110	0.24019887379768753
TGME49_312270	0.5907875674360595
TGME49_312590	0.3980976594770686
TGME49_312850	0.7368380881765305
TGME49_313030	0.11931567362104138
TGME49_313277	0.06878064486866806
TGME49_313418	0.417030070434849
TGME49_313570	0.35486763263596505
TGME49_313580	0.5857821039102412
TGME49_313900	0.7006866189356123
TGME49_314240	0.4934625700346617
TGME49_314260	0.2552035039212562
TGME49_314490	0.591989512913671
TGME49_314780	0.6460836839885717
TGME49_314790	0.630738424687877
TGME49_315150	0.45059900022294547
TGME49_315160	0.21244086127148534
TGME49_315620	0.470911610485157
TGME49_315885	0.4211869481634986
TGME49_316600	0.6288492919667962
TGME49_318310	0.26566127207370654
TGME49_318450	0.2189017854890083
TGME49_318632	0.7397016898684675
TGME49_318650	0.14621668844747734
TGME49_319600	0.5194986943212637
TGME49_319690	0.7275993208549352
TGME49_320135	0.4665716245839416
TGME49_320200	0.29722649345876345
TGME49_320410	0.310586725473508
TGME49_320430	0.45463585432601467
TGME49_321410	0.5053463688705597
TGME49_321510	0.6985240954358772
TGME49_321685	0.251225216186486
