bmdm_tpm	host_id	host_name
335.7841007	P40240	Cd9
335.3016991	Q9Z0I6	Slfn2
334.9238984	P60335	Pcbp1
334.5381219	Q61335	Bcap31
334.1773153	Q9CQJ8	Ndufb9
333.9184301	P60603	Romo1
332.4308066	Q9D735	2310036O22Rik
332.3742547	O09061	Psmb1
332.3648624	O54962	Banf1
331.9963126	Q3U7R1	Esyt1
330.8174198	O35316	Slc6a6
330.6260363	O09047	C3ar1
329.0584793	Q9CY27	Tecr
328.3240012	Q9CQE5	Rgs10
328.1359733	Q9D1L0	Chchd2
327.5650859	P62259	Ywhae
327.4810053	Q9CQT5	Pomp
324.2049089	Q9CQE7	Ergic3
322.1991294	Q8R1F1	Fam129b
322.0496773	O89109	Kcnn4
321.5737739	Q9D8K8	Slc25a39
319.0283799	Q9D8Y7	Tnfaip8l2
317.8358447	P61082	Ube2m
316.5570959	Q61559	Fcgrt
316.2839586	O54734	Ddost
315.9997555	Q9CR51	Atp6v1g1
315.8083049	P60867	Rps20
315.0986442	Q9QZI9	Serinc3
314.9563768	P97372	Psme2
314.8885211	Q61171	Prdx2
314.6307031	P51863	Atp6v0d1
314.5716602	Q60631	Grb2
312.7083883	P10639	Txn1
312.2267344	P53810	Pitpna
311.512887	Q76MZ3	Ppp2r1a
310.8634742	Q05144	Rac2
310.4406687	Q06335	Aplp2
310.0258701	Q9CQA3	Sdhb
309.9265516	Q99LX0	Park7
309.0613457	P97808	Fxyd5
306.9317251	P47962	Rpl5
305.3279734	Q9D1J1	Necap2
304.9632417	Q5MJS3	Fam20c
304.9160371	Q99LJ1	Fuca1
304.819657	Q9CQ92	Fis1
304.8072828	P45878	Fkbp2
304.486207	P27773	Pdia3
304.4578266	Q9WUK2	Eif4h
304.4019379	Q9CQ89	Cuta
303.4071815	P06869	Plau
302.5546466	P84244	H3f3b
302.2209233	Q60739	Bag1
301.530594	Q06185	Atp5k
300.8784305	P27790	Cenpb
299.3394231	Q9EST5	Anp32b
298.5421505	Q9JHL0	Lat2
297.5267785	Q9D659	4632428N05Rik
297.1664058	Q99MK8	Adrbk1
297.0308278	B2RXS4	Plxnb2
296.2801314	P56477	Irf5
296.054653	P08249	Mdh2
295.0786439	Q61792	Lasp1
294.0484811	P31750	Akt1
294.0191358	P16254	Srp14
294.014294	O55101	Syngr2
293.9926605	Q920A5	Scpep1
293.7755553	Q9WU28	Pfdn5
293.571407	O08573	Lgals9
291.5480664	P84102	Serf2
291.1362809	Q9R1P3	Psmb2
290.8225285	Q9QWK4	Cd5l
290.6014873	Q5F285	Tmem256
290.2507067	Q8K1X4	Nckap1l
289.0626491	P51859	Hdgf
288.7407382	Q9R0P3	Esd
288.7203197	Q8VEB4	Pla2g15
