gene_id	bzsub_A_expr	bzsub_B_expr	bzsub_C_expr	bzsub_D_expr	bzsub_E_expr
TGME49_297670	0.01068761225	0.09778344273	0.02898192989	0.009558356491	0
TGME49_270920	0.04178315937	0.005295859229	0.01946561555	0.02080177593	0.04969790852
TGME49_208590	0.1919815715	0.3009940138	0.2340110866	0.2975425678	0.4262521379
TGME49_311500	0.006624973469	0.0380339461	0.0231040182	0.08801552782	0.0127005609
TGME49_271750	0.1647551866	0.01144393	0.09584048219	0.1567192084	0.4414869211
TGME49_309230	0.05924556547	0.02384219402	0.04614565271	0.004389750448	0
TGME49_238100	0.1156555328	0.05409209288	0.128002215	0.4655213674	0.5617197222
TGME49_216200	0.06983402008	0.02807585405	0.03382512226	0.04303429819	0.01283846684
TGME49_244390	0.1826951214	0.1251830465	0.286292898	0.4860845045	0.4962743111
TGME49_300120	0.2064849448	0.03973951441	0.1581495317	0.2824924191	0.1117588976
TGME49_234640	0.04672430466	0.06587817777	0.1274179167	0.1187442275	0.05647475344
TGME49_257970	0.4946504611	1.035517524	0.5798681089	0.165512493	0.1715926546
TGME49_276170	0.4748951004	0.6718978965	0.6527610152	0.5103990298	0.2047134155
TGME49_314480	0.02957295955	0.1021867678	0.08212236965	0.04708684904	0
TGME49_314530	0.01729561206	0.06255061136	0.07555563934	0.04167666876	0.01516799586
TGME49_316220	0.01974666725	0.002218446673	0.004549846729	0.003406777551	0.008318197561
TGME49_259100	0.02168053363	0.009470434854	0	0	0.009479432408
TGME49_270980	0.02075136606	0.004816966732	0.0023974665	0.009183538893	0
TGME49_305820	0.09935852954	0.1163600697	0.1603472124	0.3081661796	0.07737640022
TGME49_288960	0.01236266178	0	0.00188913636	0	0.01230226897
TGME49_316290	0.01165718666	0	0	0	0.02716859479
TGME49_302003	0.560241931	0.5128612783	0.4921408217	0.2926098167	0.1977545227
TGME49_224680	0.0140844757	0.002409729589	0.00318096436	0	0
TGME49_229480	0.6941831915	0.2604880324	0.4701405496	1.125212491	1.262356258
TGME49_265520	0.4486503529	0.4844779031	0.3396616632	0.174027204	0.04898574191
TGME49_210960	0.008962884003	0.05373750065	0.0208606077	0.07969033187	0.01217574614
TGME49_281640	0.006507968309	0.01843884657	0.05480358221	0.06070058024	0
TGME49_225260	0.2399065887	0.4078145986	0.3419409596	0.2869191695	0.08192161864
TGME49_320070	0.06778106486	0.1166692353	0.1306955532	0.1322493171	0.1439734832
TGME49_236040	1.477038278	1.658031013	1.734416018	1.63002902	0.6372569983
TGME49_213820	0.05550555495	0.01207605311	0.02348111491	0.04751562619	0.02385123424
TGME49_205380	0.3612857721	0.45139026	0.4091627443	0.6464608851	0.3983473938
TGME49_300030	0.02857798375	0.05429133202	0.06489379457	0.1344026187	0.01249469277
TGME49_315320	0.2084542679	0.424838284	0.2766416639	0.1995129011	0.06539631702
