gene_id	n_m6a_peaks
TGME49_251620	1
TGME49_251680	1
TGME49_278280	1
TGME49_249698	1
TGME49_309610	1
TGME49_297310	1
TGME49_277690	1
TGME49_248810	1
TGME49_311260	1
TGME49_311250	1
TGME49_308820	1
TGME49_311110	1
TGME49_221160	1
TGME49_249620	1
TGME49_249810	1
TGME49_249840	1
TGME49_250905	1
TGME49_218510	1
TGME49_251857	1
TGME49_310820	1
TGME49_218790	1
TGME49_218860	1
TGME49_278500	1
TGME49_278040	1
TGME49_311770	1
TGME49_217490	1
TGME49_217555	1
TGME49_216010	1
TGME49_216940	1
TGME49_315980	1
TGME49_315950	1
TGME49_315350	1
TGME49_315260	1
TGME49_247470	1
TGME49_314490	1
TGME49_247590	1
TGME49_312490	1
TGME49_314295	1
TGME49_313460	1
TGME49_247670	1
TGME49_248260	1
TGME49_245485	1
TGME49_313160	1
TGME49_306930	1
TGME49_219630	1
TGME49_276900	1
TGME49_235020	1
TGME49_300340	1
TGME49_300290	1
TGME49_215930	1
TGME49_214530	1
TGME49_214390	1
TGME49_214380	1
TGME49_218230	1
TGME49_214310	1
TGME49_237230	1
TGME49_236820	1
TGME49_236510	1
TGME49_236230	1
TGME49_217610	1
TGME49_216910	1
TGME49_235890	1
TGME49_221980	1
TGME49_245428	1
TGME49_245432	1
TGME49_214835	1
TGME49_222200	1
TGME49_219150	1
TGME49_222380	1
TGME49_300300	1
TGME49_300285	1
TGME49_219780	1
TGME49_300230	1
TGME49_300200	1
TGME49_300060	1
TGME49_309265	1
TGME49_309180	1
TGME49_215070	1
TGME49_215740	1
TGME49_298020	1
TGME49_215590	1
TGME49_308020	1
TGME49_219280	1
TGME49_219230	1
TGME49_215425	1
TGME49_211360	1
TGME49_201220	1
TGME49_227850	1
TGME49_212830	1
TGME49_209112	1
TGME49_209190	1
TGME49_253040	1
TGME49_209620	1
TGME49_321570	1
TGME49_220370	1
TGME49_212920	1
TGME49_285210	1
TGME49_213590	1
TGME49_213650	1
TGME49_213740	1
TGME49_287040	1
TGME49_286610	1
TGME49_286060	1
TGME49_209108	1
TGME49_209070	1
TGME49_209020	1
TGME49_253330	1
TGME49_208410	1
TGME49_254050	1
TGME49_208310	1
TGME49_207770	1
TGME49_207640	1
TGME49_321520	1
TGME49_321580	1
TGME49_209930	1
TGME49_209485	1
TGME49_208780	1
TGME49_207630	1
TGME49_207450	1
TGME49_207430	1
TGME49_285660	1
TGME49_275755	1
TGME49_254480	1
TGME49_242010	1
TGME49_244650	1
TGME49_238000	1
TGME49_238180	1
TGME49_299110	1
TGME49_239710	1
TGME49_240480	1
TGME49_242030	1
TGME49_287210	1
TGME49_299190	1
TGME49_243720	1
TGME49_243980	1
TGME49_254625	1
TGME49_244600	1
TGME49_230080	1
TGME49_244630	1
TGME49_243710	1
TGME49_242710	1
TGME49_242310	1
TGME49_242040	1
TGME49_240970	1
TGME49_240890	1
TGME49_240800	1
TGME49_240700	1
TGME49_240240	1
TGME49_240090	1
TGME49_239670	1
TGME49_283860	1
TGME49_285490	1
TGME49_285510	1
TGME49_285870	1
TGME49_286760	1
TGME49_295630	1
TGME49_293400	1
TGME49_228110	1
TGME49_292290	1
TGME49_289560	1
TGME49_289670	1
TGME49_289700	1
TGME49_290645	1
TGME49_290740	1
TGME49_291140	1
TGME49_304970	1
TGME49_267120	1
TGME49_305455	1
TGME49_305750	1
TGME49_267840	1
TGME49_267600	1
TGME49_267530	1
TGME49_267340	1
TGME49_289540	1
TGME49_288455	1
TGME49_267010	1
TGME49_319935	1
TGME49_301290	1
TGME49_301280	1
TGME49_301216	1
TGME49_301000	1
TGME49_210750	1
TGME49_211670	1
TGME49_318370	1
TGME49_319620	1
TGME49_319510	1
TGME49_319670	1
TGME49_319992	1
TGME49_320465	1
TGME49_319530	1
TGME49_267300	1
TGME49_266410	1
TGME49_254510	1
TGME49_305610	1
TGME49_291970	1
TGME49_254770	1
TGME49_292130	1
TGME49_307605	1
TGME49_305060	1
TGME49_254580	1
TGME49_305930	1
TGME49_266368	1
TGME49_306270	1
TGME49_306342	1
