Gene ID	Fold Change (Avg)	Avg Ref
TGME49_204280	-2.3	43.94
TGME49_204290	10	0.19
TGME49_204300	10.2	0.45
TGME49_204310	-2.1	90.37
TGME49_204320	-1.4	21.75
TGME49_204325	23.1	0.14
TGME49_204330	4.4	3.07
TGME49_204340	-1434.5	344.4
TGME49_204350	-2.1	29.58
TGME49_204360	10.9	20.23
TGME49_204370	-1.2	218.62
TGME49_204380	-2	26.15
TGME49_204390	-1.9	20.26
TGME49_204395	-3.3	0.72
TGME49_204400	1.4	535.39
TGME49_204410	-2.5	30.03
TGME49_204420	4	1.88
TGME49_204440	1.1	15.57
TGME49_204460	6.1	2.91
TGME49_204480	-1.5	126.98
TGME49_204490	1.5	53.35
TGME49_204500	304.1	0.45
TGME49_204505	2.5	0.32
TGME49_204510	-2	44.05
TGME49_204520	1.3	0.09
TGME49_204530	-675.7	2009.27
TGME49_204540	2	15.28
TGME49_204550	1.5	30.69
TGME49_204560	241.2	0.03
TGME49_204870	215.3	0.05
TGME49_204880	-1.5	34.83
TGME49_205000	1.9	39.02
TGME49_205010	1.1	63.5
TGME49_205020	1	0.04
TGME49_205030	-1.6	123.43
TGME49_205040	-1.8	54.58
TGME49_205050	459.4	0.08
TGME49_205060	-1.9	35.73
TGME49_205070	7.1	0.2
TGME49_205080	40.5	0
TGME49_205090	-1.9	0.46
TGME49_205100	1	20.45
TGME49_205120	1.2	4.54
TGME49_205140	32.4	0.22
TGME49_205150	-1.7	23.82
TGME49_205160	3.2	7.79
TGME49_205170	-11.7	428.35
TGME49_205180	1	111.64
TGME49_205190	-1.9	15.24
TGME49_205200	-79.4	26.88
TGME49_205210	137.5	1.73
TGME49_205220	-1	45.21
TGME49_205230	1	0.11
TGME49_205240	1	95.69
TGME49_205250	-644.5	1504.59
TGME49_205265	1.6	3.92
TGME49_205280	-2.8	159.95
TGME49_205290	2	35.81
TGME49_205300	1.6	23.06
TGME49_205320	-3.1	231.07
TGME49_205330	-1.7	433.76
TGME49_205340	2.3	960.27
TGME49_205350	-3.2	384.76
TGME49_205360	-12.9	40.35
TGME49_205370	-1.6	58.83
TGME49_205380	2.1	242.2
TGME49_205390	2.7	39.25
TGME49_205398	2.4	0
TGME49_205402	1.1	0
TGME49_205410	2.4	11.7
TGME49_205420	14.7	1.8
TGME49_205425	1	0.08
TGME49_205430	-2.7	10.52
TGME49_205440	1.5	284.81
TGME49_205450	-16	6.52
TGME49_205460	-1.8	65.29
TGME49_205470	1.4	1098.58
TGME49_205480	2.8	8.69
TGME49_205490	-7.7	259.28
TGME49_205500	1	43.05
TGME49_205510	-1.1	164.02
TGME49_205520	507.4	0.35
TGME49_205530	-1.8	2.26
TGME49_205540	-1	31.69
