gene_id	gene_name	previous_ids	product
PF3D7_0109950	C2AP3	Previous IDs: MAL1P2.26;PF3D7_0109900;PFA0485w	respiratory chain complex 2 associated protein 3
PF3D7_0110000	N/A	Previous IDs: MAL1P2.27;PFA0490w	conserved Plasmodium protein, unknown function
PF3D7_0110100	SELB	Previous IDs: MAL1P2.28;PFA0495c	selenocysteine-specific elongation factor, putative
PF3D7_0110200	ERV1	Previous IDs: MAL1P2.29;PFA0500w	FAD-linked sulfhydryl oxidase ERV1, putative
PF3D7_0110300	N/A	Previous IDs: PFA0504c;PFA0504c.1	Plasmodium RNA of unknown function RUF5
PF3D7_0110400	RPB9	Previous IDs: MAL1P2.30;PFA0505c	DNA-directed RNA polymerase II subunit RPB9, putative
PF3D7_0110500	BDP3	Previous IDs: MAL1P2.31;PFA0510w	bromodomain protein 3, putative
PF3D7_0110600	PIP5K	Previous IDs: MAL1P2.32;PFA0515w	phosphatidylinositol-4-phosphate 5-kinase
PF3D7_0110700	CAF1C	Previous IDs: MAL1P2.33;PFA0520c	chromatin assembly factor 1 subunit C, putative
PF3D7_0110800	N/A	Previous IDs: MAL1P2.34;PFA0525w	transcription initiation factor TFIIB, putative
PF3D7_0110900	AKLP1	Previous IDs: MAL1P2.35;PFA0530c	adenylate kinase-like protein 1
PF3D7_0111000	N/A	Previous IDs: MAL1P2.36;PFA0535c	kinesin-8B, putative
PF3D7_0111200	N/A	Previous IDs: MAL1P2.37;PFA0540c	conserved protein, unknown function
PF3D7_0111300	N/A	Previous IDs: MAL1P2.38;PFA0545c	P-loop containing nucleoside triphosphate hydrolase, putative
PF3D7_0111400	GEXP19	Previous IDs: MAL1P2.39;PFA0550w	conserved Plasmodium protein, unknown function
PF3D7_0111500	N/A	Previous IDs: MAL1P2.40;PFA0555c	UMP-CMP kinase, putative
PF3D7_0111600	N/A	Previous IDs: MAL1P2.41;PFA0560c	conserved Plasmodium protein, unknown function
PF3D7_0111700	N/A	Previous IDs: MAL1P2.42;PFA0565c	conserved protein, unknown function
PF3D7_0111800	N/A	Previous IDs: MAL1P2.43;PFA0570w	eukaryotic translation initiation factor 4E, putative
PF3D7_0111900	N/A	Previous IDs: MAL1P3.01b;PFA0575c	mitochondrial distribution and morphology protein, putative
PF3D7_0112000	TatD	Previous IDs: MAL1P3.01;PFA0580c	TatD-like deoxyribonuclease
PF3D7_0112100	PIMMS1	Previous IDs: MAL1P3.02;PFA0585w	PIMMS1 protein
PF3D7_0112200	MRP1	Previous IDs: MAL1P3.03;PFA0590w	multidrug resistance-associated protein 1
PF3D7_0112300	N/A	Previous IDs: MAL1_18s;MAL1_18s:rRNA	18S ribosomal RNA
PF3D7_0112500	N/A	Previous IDs: MAL1_5.8s;MAL1_5.8s:rRNA	5.8S ribosomal RNA
PF3D7_0112700	N/A	Previous IDs: MAL1_28s;MAL1_28s:rRNA	28S ribosomal RNA
PF3D7_0112800	N/A	Previous IDs: MAL1P3.04;PFA0610c	Plasmodium exported protein (hyp11), unknown function
PF3D7_0112900	N/A	Previous IDs: MAL1P3.05;PFA0615w	Plasmodium exported protein, unknown function
