Gene ID	Score
TGME49_313180	56.3419
TGME49_315500	15.7997
TGME49_262020	9.928
TGME49_276120	17.3551
TGME49_275780	45.6387
TGME49_254100	10.2689
TGME49_213325	57.1765
TGME49_299240	42.5973
TGME49_230205	74.9559
TGME49_313055	45.5726
TGME49_232700	53.9152
TGME49_315460	23.5394
TGME49_316780	10.8766
TGME49_272270	60.9964
TGME49_262730	38.4043
TGME49_262620	100.6504
TGME49_229990	32.9773
TGME49_231140	40.1571
TGME49_233540	36.3109
TGME49_270890	50.4397
TGME49_270520	53.3972
TGME49_269990	57.5404
TGME49_208020	73.8924
TGME49_207390	42.4002
TGME49_209090	54.9061
TGME49_276810	7.0173
TGME49_203540	91.4644
TGME49_202700	42.501
TGME49_202660	32.6877
TGME49_202410	35.3197
TGME49_201860	33.3541
TGME49_223930	49.1788
TGME49_212280	56.5784
TGME49_275380	19.9038
TGME49_226930	37.0381
TGME49_236210	36.8398
TGME49_222192	27.9242
TGME49_319620	27.1365
TGME49_221180	89.6863
TGME49_221580	60.6855
TGME49_239800	17.6058
TGME49_240740	21.6333
TGME49_265790	74.5216
TGME49_264650	24.3738
TGME49_305870	15.7733
TGME49_288280	16.1634
TGME49_244460	47.0171
TGME49_294100	8.4099
TGME49_295460	63.3049
TGME49_294860	49.3409
TGME49_220208	28.9102
TGME49_287250	85.8254
TGME49_283760	40.7524
TGME49_315980	35.0057
TGME49_300150	66.8347
TGME49_218920	50.489
TGME49_217688	71.1921
TGME49_275710	42.776
TGME49_253550	8.9974
TGME49_286260	25.1356
TGME49_254510	33.8356
TGME49_500114	15.3185
TGME49_310740	23.0209
TGME49_230980	29.5369
TGME49_233245	21.2762
TGME49_314390	37.1282
TGME49_315958	15.7648
TGME49_272600	4.1219
TGME49_262750	24.6064
TGME49_257440	40.2436
TGME49_233490	33.4529
TGME49_233550	21.0394
TGME49_270520	53.3972
TGME49_269920	50.9338
TGME49_207650	63.9127
TGME49_268570	25.4513
TGME49_500161	53.7115
TGME49_224090	68.8246
TGME49_235880	37.7722
TGME49_224205	54.3453
TGME49_223490	35.6684
TGME49_275450	74.3994
TGME49_207150	7.8608
TGME49_205640	13.3191
TGME49_205280	123.3401
TGME49_320280	8.1933
TGME49_318160	26.2021
TGME49_220920	49.999
TGME49_221600	19.8459
TGME49_318490	35.4681
TGME49_242000	27.0182
TGME49_244150	42.9905
TGME49_266830	38.8682
TGME49_288190	45.0625
TGME49_306455	10.5619
TGME49_264740	45.2266
TGME49_293860	57.2797
TGME49_294890	27.9678
TGME49_206560	8.2076
TGME49_210980	41.4723
TGME49_240800	36.4539
TGME49_500417	175.7246
TGME49_265850	39.6402
TGME49_267500	54.2688
TGME49_288950	16.5765
TGME49_294870	49.9799
TGME49_219310	65.1997
TGME49_311485	19.4907
TGME49_311870	21.5404
TGME49_258650	21.9625
TGME49_284660	19.5982
TGME49_309930	36.013
TGME49_310910	23.8796
TGME49_312650	45.2504
TGME49_313970	45.8975
TGME49_314470	29.0157
TGME49_314810	33.5705
TGME49_216220	66.8743
TGME49_216053	28.2026
TGME49_269390	49.1708
TGME49_268850	59.2439
TGME49_268685	36.9626
TGME49_200290	51.9638
TGME49_232540	31.2938
TGME49_321710	7.5766
TGME49_227310	43.2662
TGME49_236400	29.2135
TGME49_228190	100.4539
TGME49_226800	26.6039
TGME49_224650	22.8207
TGME49_224580	39.2053
TGME49_214190	44.4206
TGME49_280670	69.2246
TGME49_206620	7.2983
TGME49_204540	33.3307
TGME49_202240	38.5151
TGME49_202100	37.6151
TGME49_202020	211.4923
TGME49_201830	18.9277
TGME49_319580	35.1658
TGME49_237820	27.2187
TGME49_500065	27.9632
TGME49_297910	5.1562
TGME49_297940	24.9186
TGME49_238460	3.5033
TGME49_242710	62.4586
TGME49_244500	39.9807
TGME49_267710	48.5162
TGME49_267660	51.186
TGME49_306020	30.4999
TGME49_294180	41.9307
TGME49_236560	56.8736
TGME49_214270	42.8706
TGME49_203250	16.8955
TGME49_202770	151.2964
TGME49_320120	56.119
TGME49_221700	52.6262
TGME49_297950	24.9186
TGME49_267720	73.5103
TGME49_264780	49.4769
TGME49_291690	32.777
TGME49_210255	35.6391
TGME49_240300	39.4694
TGME49_293050	56.6883
TGME49_294785	10.7762
TGME49_295000	26.9878
TGME49_245670	36.0163
TGME49_277860	42.544
TGME49_219440	31.4352
TGME49_246510	12.5744
TGME49_253030	65.9867
TGME49_299020	15.4989
TGME49_213890	27.8749
TGME49_254410	77.6718
TGME49_254420	77.6718
TGME49_284590	38.7787
TGME49_309265	45.9231
TGME49_315120	36.5855
TGME49_315110	36.5855
TGME49_274070	58.2847
TGME49_500048	72.4649
TGME49_500338	59.2701
TGME49_270520	53.3972
TGME49_258790	47.0814
TGME49_269250	21.8359
TGME49_229440	62.476
TGME49_273540	11.4886
TGME49_269330	49.3673
TGME49_500224	50.6183
TGME49_209005	41.5717
TGME49_223390	38.5634
TGME49_237480	30.6576
TGME49_228490	17.7478
TGME49_227620	129.5972
TGME49_224540	16.4624
TGME49_202735	16.3816
TGME49_281570	8.7852
TGME49_221260	28.9897
TGME49_265170	24.0878
TGME49_287970	49.6677
TGME49_294680	59.6818
TGME49_219260	47.3889
TGME49_247015	57.1467
TGME49_212775	16.4709
TGME49_285760	39.8693
TGME49_309380	15.9307
TGME49_309752	54.4115
TGME49_310820	34.4706
TGME49_311510	60.872
TGME49_217670	52.6846
TGME49_500122	18.906
TGME49_213620	23.9939
TGME49_309940	10.5277
TGME49_500278	163.9763
TGME49_258420	21.3013
TGME49_257980	22.4217
TGME49_275820	28.0343
TGME49_252620	36.5798
TGME49_252380	21.6567
TGME49_254070	76.8081
TGME49_286490	20.8725
TGME49_285700	15.9786
TGME49_309740	54.4115
TGME49_230190	71.0673
TGME49_314700	93.8709
TGME49_262568	52.4476
TGME49_230490	35.3577
TGME49_264120	24.6845
TGME49_269210	31.4171
TGME49_209430	29.288
TGME49_215660	24.187
TGME49_322800	15.4923
TGME49_319330	32.3648
TGME49_211010	64.8749
TGME49_297140	44.0978
TGME49_318460	29.4138
TGME49_237835	55.0973
TGME49_244515	31.989
TGME49_288350	28.1249
TGME49_264940	40.0017
TGME49_293670	48.4578
TGME49_294710	105.6117
TGME49_217600	60.7181
TGME49_248860	42.1288
TGME49_286595	50.7407
TGME49_217850	23.7973
TGME49_252080	20.6618
TGME49_254380	27.3595
TGME49_298840	2.9762
TGME49_311440	47.2678
TGME49_316270	21.2639
TGME49_262420	64.8049
TGME49_255635	28.8431
TGME49_270100	56.4966
TGME49_229940	48.1346
TGME49_230880	17.5663
TGME49_232010	41.9055
