gene_id	febrile_phospho_max_abs_log2fc	febrile_phospho_n_sites_up	febrile_phospho_n_sites_down
PF3D7_0628100	0.652457	0	0
PF3D7_0628200	0.531219	0	0
PF3D7_0628300	0.0171986	0	0
PF3D7_0629400	1.8966	0	1
PF3D7_0629500	0.363791	0	0
PF3D7_0629700	0.506038	0	0
PF3D7_0629800	0.0611277	0	0
PF3D7_0629900	0.319963	0	0
PF3D7_0630300	0.532698	0	0
PF3D7_0630600	0.256738	0	0
PF3D7_0630900	0.648713	0	0
PF3D7_0701600	0.686293	0	0
PF3D7_0702300	0.407258	0	0
PF3D7_0702400	1.79687	2	0
PF3D7_0702500	2.37659	23	0
PF3D7_0703200	0.449943	0	0
PF3D7_0703500	0.484777	0	0
PF3D7_0703900	0.329823	0	0
PF3D7_0704000	0.120453	0	0
PF3D7_0704100	0.938447	0	0
PF3D7_0704200	1.15521	0	1
PF3D7_0704300	0.596617	0	0
PF3D7_0704400	0.359578	0	0
PF3D7_0704600	0.469228	0	0
PF3D7_0704700	0.943023	0	0
PF3D7_0704800	0.832828	0	0
PF3D7_0705000	0.213393	0	0
PF3D7_0705100	0.189668	0	0
PF3D7_0705300	0.522772	0	0
PF3D7_0705400	0.465332	0	0
PF3D7_0705500	0.299667	0	0
PF3D7_0706000	0.285478	0	0
PF3D7_0706400	0.509892	0	0
PF3D7_0706500	0.702283	0	0
PF3D7_0707200	0.455318	0	0
PF3D7_0707300	0.353527	0	0
PF3D7_0707400	0.177068	0	0
PF3D7_0707600	0.746527	0	0
PF3D7_0707700	0.214542	0	0
PF3D7_0708000	0.0822277	0	0
PF3D7_0708400	1.26228	2	0
PF3D7_0708500	0.221667	0	0
PF3D7_0708800	0.530472	0	0
PF3D7_0709000	0.0837221	0	0
PF3D7_0709300	0.314358	0	0
PF3D7_0709400	0.227713	0	0
PF3D7_0709600	0.0740976	0	0
PF3D7_0709700	0.436433	0	0
PF3D7_0710200	0.682728	0	0
PF3D7_0710600	0.606928	0	0
PF3D7_0710800	0.103458	0	0
PF3D7_0711100	0.277848	0	0
PF3D7_0711300	0.267358	0	0
PF3D7_0711400	0.357733	0	0
PF3D7_0711500	0.716338	0	0
PF3D7_0713900	0.639682	0	0
PF3D7_0714000	0.0693569	0	0
PF3D7_0714200	0.441403	0	0
