gene_id	surface_apicoplast_log2fc	surface_apicoplast_stringent	surface_mitochondrion_log2fc	surface_mitochondrion_stringent	surface_er_log2fc	surface_er_stringent
TGME49_251780	1.415037499	0	0.9259994186	0	0.8744691179	0
TGME49_251930	2.222392421	0				
TGME49_253430	2.115477217	0			2.115477217	0
TGME49_253440	4.437405312	0	2.807354922	0	2.662965013	0
TGME49_253470	2	0	1.222392421	0	1.247927513	0
TGME49_253510	1.415037499	0				
TGME49_253650	2.115477217	0				
TGME49_254120	2.502500341	1				
TGME49_254370	2.584962501	1			4.604862058	0
TGME49_254580	2.662965013	1			3.584962501	1
TGME49_254690	3.502500341	1			5.727920455	1
TGME49_254880	3.058893689	0				
TGME49_255160	2.584962501	0	4.247927513	0	0.6374299206	0
TGME49_255880	4.906890596	1	4.772589504	1	4.169925001	0
TGME49_256760	3.624490865	0	3.624490865	0	3.459431619	0
TGME49_256830	3.415037499	1				
TGME49_256980	3.169925001	1			5.297680549	1
TGME49_256990	1.415037499	0	1.736965594	0		
TGME49_257680	2.115477217	0	2.273018494	0	1.736965594	0
TGME49_258070	1.584962501	0			1.736965594	0
TGME49_258090	1.026472211	0	1.902702799	0	1.297680549	0
TGME49_258210	1.415037499	0	3.115477217	0		
TGME49_258410	0.5951582678	0	0.9175378398	0	0.6979714626	0
TGME49_258470	0.6197279189	0	0.8548020845	0	0.9068905956	0
TGME49_258580	0.6605135337	0	0.5193741591	0	0.8171359429	0
TGME49_258870	2.938599455	0				
TGME49_258950	2.736965594	1				
TGME49_258970	5.754887502	1			6.754887502	1
TGME49_259000	3.841302254	1			2.222392421	0
TGME49_259240	1.874469118	0	1.736965594	0	2.502500341	0
TGME49_259260	3.851749041	1			1.874469118	0
TGME49_259630	1.251538767	0	0.7182290316	0	0.6476982561	0
TGME49_259720	3	1				
TGME49_260540	1.019365325	0	0.8766175845	0	0.9274875002	0
TGME49_260550	2.874469118	1	2.222392421	0	2.115477217	0
TGME49_261070	2.362570079	1				
TGME49_261080	2.938599455	1			5.815916936	0
TGME49_261240	0.9004643264	0	1.415037499	0	1.295455884	0
TGME49_261250	0.9708536543	0	1.292781749	0	1.353636955	0
TGME49_261430	2.807354922	1			4.807354922	1
TGME49_261500	5.309855263	0	4.058893689	0	4.624490865	0
TGME49_261570	1.736965594	0			2	0
TGME49_261580	1.125530882	0	2	0	1.64385619	0
TGME49_261710	2.662965013	0				
TGME49_261950	-0.5305147167	0	1.222392421	0		
TGME49_262150	2.321928095	0	3.273018494	0	1	0
