gene_id	chromprox_hp1_log2fc	chromprox_hp1_hit	chromprox_h3k27ac_log2fc	chromprox_h3k27ac_hit	chromprox_h3k4me3_log2fc	chromprox_h3k4me3_hit	chromprox_centromere_log2fc	chromprox_centromere_hit
PF3D7_1130700	-0.0255655	0	1.63995	1	0.529793	0	0.659166	0
PF3D7_0802100	2.25745	1	3.77147	1	1.17336	1	0.512446	0
PF3D7_0811200	0.118366	0	-0.0931136	0	0.103137	0		
PF3D7_1438400	0.582078	0	-0.689161	0	-0.155165	0	-0.748194	0
PF3D7_1136300	-0.739889	0	-0.702319	0	0.131603	0	-0.0947231	0
PF3D7_1007700	0.928291	0	1.45746	0	0.685254	0	0.58856	0
PF3D7_0704100	-0.459724	0	-0.468465	0	-0.0129229	0	-0.955385	0
PF3D7_0516800	2.32978	1	1.42852	0	0.584918	0	0.490625	0
PF3D7_1440000	0.184441	0	-1.65376	0	-0.320063	0	-0.841864	0
PF3D7_1219100	-0.0842126	0	-0.0211264	0	-0.0806192	0	-0.481312	0
PF3D7_1007900	-0.322816	0	-0.199121	0	-0.1116	0	-0.13581	0
PF3D7_1227600	-0.397898	0	-0.676938	0	-0.0231539	0	1.25756	1
PF3D7_0711000	-0.379942	0	0.0378634	0	-0.330468	0		
PF3D7_1329100	0.0822849	0	-0.135537	0	-0.00936254	0	-0.648295	0
PF3D7_0517400	0.921432	0	0.855461	0	0.387884	0	0.231564	0
PF3D7_1103800	-0.77704	0	-0.786036	0	-0.0894356	0	-0.920328	0
PF3D7_0905400	-0.185479	0	-0.0893319	0	-0.202673	0	-0.0265138	0
PF3D7_1410400	-0.33116	0	-0.208651	0	-0.200993	0	-0.227753	0
PF3D7_1033700	0.545334	0	2.10597	1	0.760438	0	0.0510881	0
PF3D7_1419000	0.8287	0	1.33219	0	0.637026	0	0.58557	0
PF3D7_1014600	0.548481	0	1.80144	1	0.673123	0	0.383537	0
PF3D7_1451100	-0.273731	0	-0.314315	0	0.0660311	0	-0.0509434	0
PF3D7_1415400	-0.468215	0	-0.399365	0	-0.0213292	0	-0.585688	0
PF3D7_0628200	-0.0313994	0	0.272621	0	0.113983	0	-0.599886	0
PF3D7_1206200	-0.11391	0	-0.219413	0	-0.195342	0	-0.549833	0
PF3D7_1220900	3.80709	1	0.171771	0	-0.276304	0	0.610827	0
PF3D7_1222300	0.798653	0	-0.292916	0	-0.190761	0	-0.0292393	0
PF3D7_0322900	0.0212733	0	-0.0723839	0	0.216963	0	-0.00119409	0
PF3D7_1317100	0.958055	0	0.587497	0	0.202949	0	0.187836	0
PF3D7_0317300	-0.55685	0	-0.610935	0	-0.432329	0	0.314264	0
PF3D7_0619400	-0.33126	0	-0.232608	0	-0.214154	0	-0.0612901	0
PF3D7_1208900	0.284334	0	0.502353	0	0.297702	0	0.657205	0
