gene_id	pvm_proximity_positive
TGME49_270240	1.0
TGME49_270250	1.0
TGME49_270380	0.0
TGME49_270530	0.0
TGME49_270540	0.0
TGME49_270550	0.0
TGME49_270620	0.0
TGME49_270640	0.0
TGME49_270700	1.0
TGME49_270710	0.0
TGME49_270740	0.0
TGME49_270830	0.0
TGME49_270840	0.0
TGME49_270865	0.0
TGME49_270880	0.0
TGME49_270910	0.0
TGME49_271280	0.0
TGME49_271380	0.0
TGME49_271460	0.0
TGME49_271810	0.0
TGME49_271820	0.0
TGME49_271888	0.0
TGME49_271930	0.0
TGME49_271970	0.0
TGME49_272010	0.0
TGME49_272230	0.0
TGME49_272400	0.0
TGME49_272490	0.0
TGME49_272630	0.0
TGME49_272650	0.0
TGME49_272740	0.0
TGME49_272910	0.0
TGME49_273030	0.0
TGME49_273090	0.0
TGME49_273120	0.0
TGME49_273130	0.0
TGME49_273150	0.0
TGME49_273370	0.0
TGME49_273445	0.0
TGME49_273500	0.0
TGME49_273520	0.0
TGME49_273540	0.0
TGME49_273630	0.0
TGME49_273660	0.0
TGME49_273730	0.0
TGME49_273760	0.0
TGME49_273840	0.0
TGME49_273870	0.0
TGME49_273950	0.0
TGME49_273960	0.0
TGME49_274060	0.0
TGME49_274070	0.0
TGME49_275350	0.0
TGME49_275370	0.0
TGME49_275440	1.0
TGME49_275470	1.0
TGME49_275480	0.0
TGME49_275568	0.0
TGME49_275750	0.0
TGME49_275860	1.0
TGME49_275980	0.0
TGME49_276110	0.0
TGME49_276170	0.0
TGME49_277000	0.0
TGME49_277090	0.0
TGME49_277270	1.0
TGME49_277500	0.0
TGME49_277510	0.0
TGME49_277850	0.0
TGME49_277895	0.0
TGME49_277970	0.0
TGME49_277990	0.0
TGME49_278050	0.0
TGME49_278490	0.0
TGME49_278630	0.0
TGME49_278660	0.0
TGME49_278670	0.0
TGME49_278740	0.0
TGME49_278850	0.0
TGME49_278950	0.0
TGME49_278990	0.0
TGME49_279100	1.0
TGME49_279330	0.0
TGME49_279370	0.0
TGME49_279390	0.0
TGME49_279400	0.0
TGME49_279450	0.0
TGME49_280400	0.0
TGME49_280410	0.0
TGME49_280440	0.0
TGME49_280600	0.0
TGME49_280710	0.0
TGME49_280740	0.0
TGME49_280750	0.0
TGME49_280760	0.0
TGME49_280800	0.0
TGME49_281400	0.0
TGME49_281430	0.0
TGME49_281490	0.0
TGME49_281520	0.0
TGME49_281580	0.0
TGME49_281980	0.0
TGME49_282055	1.0
TGME49_282140	0.0
TGME49_282180	0.0
TGME49_282220	0.0
TGME49_283740	0.0
TGME49_283850	0.0
TGME49_283878	0.0
TGME49_284190	0.0
TGME49_284540	0.0
TGME49_284560	0.0
TGME49_285170	0.0
TGME49_285200	0.0
TGME49_285220	0.0
TGME49_285268	0.0
TGME49_285680	0.0
TGME49_285760	0.0
TGME49_286080	0.0
TGME49_286210	0.0
TGME49_286220	0.0
TGME49_286440	0.0
TGME49_286450	1.0
TGME49_286560	0.0
TGME49_286580	0.0
TGME49_286590	0.0
TGME49_286690	0.0
TGME49_286710	0.0
TGME49_286730	0.0
TGME49_286750	0.0
TGME49_286790	0.0
TGME49_286920	0.0
TGME49_287210	0.0
TGME49_287500	0.0
TGME49_288210	0.0
TGME49_288340	0.0
TGME49_288380	0.0
TGME49_288400	0.0
TGME49_288510	0.0
TGME49_288530	0.0
TGME49_288580	0.0
TGME49_288620	0.0
TGME49_288630	0.0
TGME49_288650	1.0
TGME49_288685	0.0
TGME49_288720	0.0
TGME49_288740	0.0
TGME49_288750	0.0
TGME49_288800	0.0
TGME49_288840	1.0
TGME49_288910	0.0
TGME49_289070	0.0
TGME49_289100	0.0
TGME49_289140	0.0
TGME49_289180	0.0
TGME49_289210	0.0
TGME49_289230	0.0
TGME49_289300	0.0
TGME49_289320	0.0
TGME49_289350	0.0
TGME49_289380	1.0
TGME49_289530	0.0
TGME49_289550	0.0
TGME49_289560	0.0
TGME49_289570	0.0
TGME49_289600	0.0
TGME49_289650	0.0
TGME49_289680	0.0
TGME49_289690	0.0
TGME49_289770	0.0
TGME49_289780	0.0
TGME49_289820	0.0
TGME49_289830	0.0
TGME49_289940	0.0
TGME49_289980	0.0
TGME49_290180	0.0
TGME49_290260	0.0
TGME49_290270	0.0
TGME49_290290	0.0
TGME49_290340	0.0
TGME49_290580	0.0
TGME49_290600	0.0
TGME49_290630	0.0
TGME49_290660	0.0
TGME49_290700	1.0
TGME49_290850	0.0
TGME49_290890	0.0
TGME49_290950	0.0
TGME49_290970	0.0
TGME49_290980	0.0
TGME49_291000	0.0
TGME49_291330	0.0
TGME49_291640	0.0
TGME49_291680	0.0
TGME49_291930	0.0
TGME49_291980	0.0
TGME49_292080	0.0
TGME49_292120	0.0
TGME49_292130	0.0
TGME49_292200	0.0
TGME49_292920	0.0
TGME49_293060	0.0
TGME49_293310	0.0
TGME49_293340	0.0
TGME49_293350	0.0
TGME49_293570	0.0
TGME49_293580	0.0
TGME49_293690	0.0
TGME49_293810	0.0
TGME49_293870	0.0
TGME49_294190	0.0
TGME49_294250	0.0
TGME49_294270	0.0
TGME49_294350	0.0
TGME49_294360	0.0
TGME49_294420	0.0
TGME49_294550	0.0
TGME49_294620	0.0
TGME49_294670	0.0
TGME49_294690	0.0
TGME49_294700	0.0
TGME49_294898	0.0
TGME49_295040	0.0
TGME49_295070	0.0
TGME49_295110	1.0
TGME49_295340	0.0
TGME49_295350	0.0
TGME49_295360	0.0
TGME49_295680	0.0
TGME49_295690	0.0
TGME49_295710	0.0
TGME49_296010	0.0
TGME49_297060	0.0
TGME49_297080	0.0
TGME49_297140	0.0
TGME49_297150	0.0
TGME49_297170	0.0
TGME49_297245	0.0
TGME49_297470	0.0
TGME49_297500	0.0
TGME49_297530	0.0
TGME49_297720	0.0
TGME49_297780	0.0
TGME49_297800	0.0
TGME49_297880	1.0
TGME49_297890	0.0
TGME49_297940	0.0
TGME49_298030	0.0
TGME49_298610	0.0
TGME49_298970	0.0
TGME49_299050	0.0
TGME49_299070	0.0
TGME49_299200	0.0
TGME49_299210	0.0
TGME49_299970	0.0
TGME49_300000	0.0
TGME49_300140	0.0
TGME49_300190	0.0
TGME49_300200	0.0
TGME49_300260	0.0
TGME49_300280	0.0
TGME49_300310	0.0
TGME49_300380	0.0
TGME49_301120	0.0
TGME49_301380	0.0
TGME49_301390	0.0
TGME49_301440	0.0
TGME49_302000	0.0
TGME49_302050	0.0
TGME49_304650	0.0
TGME49_304670	0.0
TGME49_304740	1.0
TGME49_304760	0.0
TGME49_304770	0.0
TGME49_304970	0.0
TGME49_305010	0.0
TGME49_305030	0.0
TGME49_305040	0.0
TGME49_305050	0.0
TGME49_305120	0.0
