gene_id	secretome_soluble_over_vesicle_log2
TGME49_286450	-2.4059923596758366
TGME49_288360	2.4059923596758366
TGME49_288380	2.8875252707415875
TGME49_288650	0.13750352374993502
TGME49_289650	1.3785116232537298
TGME49_289690	2.4059923596758366
TGME49_289750	2.070389327891398
TGME49_290200	4.694880192799191
TGME49_290670	1.8073549220576042
TGME49_290950	0.48542682717024166
TGME49_291890	1.84799690655495
TGME49_291960	4.392317422778761
TGME49_293470	-0.13750352374993502
TGME49_293690	4.465974464504069
TGME49_294200	2.6322682154995127
TGME49_294620	-0.5849625007211562
TGME49_295110	-0.13750352374993502
TGME49_295125	0.5849625007211562
TGME49_297060	3.4982508675278257
TGME49_297880	1.9634741239748859
TGME49_299780	-0.13750352374993502
TGME49_300200	0.8479969065549501
TGME49_300280	3.3074285251922473
TGME49_301440	1.84799690655495
TGME49_305860	0.2630344058337938
TGME49_308020	0.2630344058337938
TGME49_308090	-0.0
TGME49_309120	-0.925999418556223
TGME49_309210	2.608809242675524
TGME49_309590	0.2630344058337938
TGME49_309760	0.8479969065549501
TGME49_310080	0.765534746362977
TGME49_310150	0.13750352374993502
TGME49_310640	2.070389327891398
TGME49_311720	4.232660756790275
TGME49_312270	0.2630344058337938
TGME49_312480	1.4854268271702418
TGME49_315320	-1.3219280948873624
TGME49_316400	-1.2016338611696504
TGME49_318230	3.1858665453113337
TGME49_318430	3.643856189774725
TGME49_319340	3.8278190246173196
TGME49_319350	-2.0
TGME49_319920	2.070389327891398
TGME49_320050	-1.3219280948873624
TGME49_320210	1.9634741239748859
