gene_id	gametocyte_proteome_log2	gametocyte_newly_made
PF3D7_0407200	13.58600704	1
PF3D7_0408100	13.19417049	0
PF3D7_0408200	15.55995659	0
PF3D7_0408500	18.76909852	1
PF3D7_0409000	12.98306723	0
PF3D7_0409100	14.10148331	1
PF3D7_0409400	12.92915976	0
PF3D7_0409500	12.7487107	0
PF3D7_0409600	15.86029165	0
PF3D7_0409800	13.07089129	0
PF3D7_0409900	14.02431437	0
PF3D7_0410300	11.994278	1
PF3D7_0410400	14.02921532	0
PF3D7_0410600	18.38291527	0
PF3D7_0410800	12.13952044	0
PF3D7_0410900	14.80639522	0
PF3D7_0411100	12.63487759	0
PF3D7_0411300	11.94648354	0
PF3D7_0411900	17.32290518	0
PF3D7_0412000	13.75826833	0
PF3D7_0412200	15.22110121	0
PF3D7_0413500	16.58962872	1
PF3D7_0413600	18.25590607	0
PF3D7_0413700	16.3785596	1
PF3D7_0413900	17.64040971	1
PF3D7_0414000	17.17415197	1
PF3D7_0414200	12.73721424	0
PF3D7_0414300	14.71804583	0
PF3D7_0414500	14.45584733	0
PF3D7_0414600	14.8239825	0
PF3D7_0415000	17.0901331	0
PF3D7_0415200	13.18983434	0
PF3D7_0415400	15.87647298	0
PF3D7_0415500	14.44651041	0
PF3D7_0415600	15.73211972	1
PF3D7_0415900	18.99321483	0
PF3D7_0416200	14.46170325	0
PF3D7_0416400	13.54195568	1
PF3D7_0416500	15.10944572	0
PF3D7_0416800	18.34214124	0
PF3D7_0416900	13.6581036	0
PF3D7_0417000	17.74079311	1
PF3D7_0417200	19.31071336	0
PF3D7_0417300	15.23290804	1
PF3D7_0417500	18.52067622	1
PF3D7_0417600	16.76726201	0
PF3D7_0417900	16.18725347	0
PF3D7_0418000	13.1251772	0
PF3D7_0418100	15.7444467	0
PF3D7_0418200	17.32299024	0
PF3D7_0418500	16.57018332	0
PF3D7_0418700	13.16858124	0
PF3D7_0419000	14.12836225	0
PF3D7_0419200	14.01740871	0
PF3D7_0419400	12.99270471	0
PF3D7_0419500	14.07246482	1
PF3D7_0419600	20.47870248	0
PF3D7_0419800	16.70180054	0
PF3D7_0420500	13.28996843	0
PF3D7_0420600	14.45769509	0
PF3D7_0422000	17.51168317	1
PF3D7_0422100	16.96179257	0
PF3D7_0422300	21.42697721	0
PF3D7_0422400	19.69085112	0
PF3D7_0422500	15.66117963	1
PF3D7_0422600	16.97856524	0
PF3D7_0422700	16.52066727	1
PF3D7_0422800	12.67394944	0
PF3D7_0423200	13.59604219	0
PF3D7_0423500	17.60797079	1
PF3D7_0423600	12.11825329	0
PF3D7_0423700	17.20082838	0
PF3D7_0424600	16.45285789	1
PF3D7_0500800	13.39456273	0
PF3D7_0501000	14.82646077	0
PF3D7_0501100	13.39809834	1
PF3D7_0501200	12.91948224	0
PF3D7_0501300		1
PF3D7_0501400	14.05864852	0
PF3D7_0501500	13.9945812	0
PF3D7_0501600	15.58908541	0
PF3D7_0501800	16.75275521	0
PF3D7_0501900	12.47212472	0
PF3D7_0502000		1
PF3D7_0502200	12.69470031	0
PF3D7_0502400	13.57304752	0
PF3D7_0502500	12.34642878	0
PF3D7_0502900	13.26040944	0
PF3D7_0503200	14.63873569	0
PF3D7_0503300	16.6688296	0
PF3D7_0503400	20.36356942	0
PF3D7_0503600	13.95646691	0
PF3D7_0503800	15.3823696	0
PF3D7_0503900	13.73966108	0
PF3D7_0504600	20.61226499	0
PF3D7_0504900	15.48003281	0
PF3D7_0505000	13.42747872	1
PF3D7_0505100	13.52913362	0
PF3D7_0505200	18.117129	1
PF3D7_0505500	16.95905482	1
PF3D7_0505700	15.33717703	1
PF3D7_0505800	20.33470174	1
PF3D7_0505900	18.34673014	0
PF3D7_0506000	13.12974398	0
PF3D7_0506900	12.29563216	0
PF3D7_0507100	19.4792974	0
PF3D7_0507600	15.90207122	1
PF3D7_0507700	17.09246467	1
PF3D7_0507800	16.43691537	1
PF3D7_0508000	15.3544916	1
PF3D7_0508200	17.73277911	0
PF3D7_0508400	19.36741831	0
PF3D7_0508700	12.22502965	0
PF3D7_0509000	17.59584508	0
PF3D7_0509100	15.75728322	1
PF3D7_0509200	14.34885031	0
PF3D7_0509300	14.47960977	0
PF3D7_0509800	14.2301831	0
PF3D7_0510000	16.22577794	0
PF3D7_0510200	13.21774519	0
PF3D7_0510300	12.99687536	0
PF3D7_0510400	12.64731376	0
PF3D7_0510500	13.98269061	0
PF3D7_0510800	16.13241806	1
PF3D7_0511000	19.65820102	1
PF3D7_0511300	14.22351909	0
