gene_id	sexual_stage_8dpi_log2fc
TGME49_210682	5.42354098681305
TGME49_210700	4.40659270208997
TGME49_210750	-2.68623718251315
TGME49_210760	-0.211887586222426
TGME49_210778	-0.879783180239604
TGME49_210781	-1.53785569105638
TGME49_210787	-1.64644342018792
TGME49_210790	-0.195142365161165
TGME49_210800	-0.415435773092997
TGME49_210810	0.364316099574048
TGME49_210820	3.5784503376349
TGME49_210830	-4.03814001442751
TGME49_210840	-2.25419343283901
TGME49_210960	-0.155119599593211
TGME49_210980	-1.54866513306188
TGME49_211010	-0.199574547832883
TGME49_211015	1.27670747412189
TGME49_211020	-1.59585429303113
TGME49_211030	4.60819831723751
TGME49_211040	1.16663096694325
TGME49_211090	0.165589087086352
TGME49_211150	2.38440956827487
TGME49_211220	-0.246846180728269
TGME49_211230	-1.18606032476276
TGME49_211240	-0.661984568523517
TGME49_211250	2.0222389121942
TGME49_211270	5.84272167281351
TGME49_211300	-0.377911769776584
TGME49_211310	0.500842899566876
TGME49_211330	-1.64753806707746
TGME49_211340	7.56601544480047
TGME49_211350	1.35484506018936
TGME49_211390	-2.29815150731785
TGME49_211400	-1.58862529132369
TGME49_211410	-2.49505120080246
TGME49_211420	-0.889318921200731
TGME49_211440	-0.765705480949004
TGME49_211450	-0.51266559507647
TGME49_211460	6.66425058826214
TGME49_211470	-2.08251247188059
TGME49_211480	-0.25836335814523
TGME49_211600	3.92146756947474
TGME49_211610	3.91779500876434
TGME49_211630	9.5381061016284
TGME49_211640	0.710419245146945
TGME49_211650	6.33455643744065
TGME49_211670	0.659159716760247
TGME49_211680	2.49164534866108
TGME49_211690	-1.70221697377726
TGME49_211695	-0.223949565858939
TGME49_211700	-0.71500332978073
TGME49_211710	1.14256541807421
TGME49_211850	12.613640457703
TGME49_211860	-3.39954124540535
TGME49_211870	-0.754234437843795
TGME49_211890	-0.377641350081386
TGME49_212090	3.6283614797631
TGME49_212100	-1.84150205215864
TGME49_212130	2.65623816000191
TGME49_212140	0.432996002016124
TGME49_212150	3.76158603989512
TGME49_212170	-0.27112294417522
TGME49_212190	-1.71661845025012
TGME49_212200	2.15561840688288
TGME49_212210	2.39590696157276
TGME49_212220	-0.298990944680489
TGME49_212250	-1.36812670467189
TGME49_212260	-0.35970503993242
TGME49_212270	9.13253672851397
TGME49_212300	2.1858902492708
TGME49_212310	0.63073753739643
TGME49_212410	-4.06310028023455
TGME49_212725	-0.877248826930638
TGME49_212770	3.70675337946466
TGME49_212780	6.02090658734926
TGME49_212800	1.48361816120227
TGME49_212820	-1.15702721465512
TGME49_212840	-1.34587774324149
TGME49_212850	1.62276109564904
TGME49_212860	-2.36402520541613
TGME49_212880	3.50944676196774
TGME49_212900	10.6856683081464
TGME49_212920	-0.394508689260512
TGME49_212960	-1.44231517050916
TGME49_212980	6.02621875471297
TGME49_212990	5.9279405083909
TGME49_213020	-0.455600712388132
TGME49_213030	0.568650754650331
TGME49_213040	3.68096983903031
TGME49_213050	13.3466100534948
TGME49_213060	0.664800230582683
TGME49_213065	-3.30255327069171
TGME49_213067	6.3023022902045
TGME49_213069	-2.26565492833564
TGME49_213072	-0.129119976184494
TGME49_213100	-1.65898422434494
TGME49_213115	-2.06935538215742
TGME49_213240	0.180374533643924
TGME49_213255	1.76291836117435
TGME49_213300	-4.65044076610113
TGME49_213325	2.72703867028864
TGME49_213392	1.89163466946551
TGME49_213400	0.246970915387848
TGME49_213410	-1.31289077583348
TGME49_213415	-1.37377151698419
TGME49_213460	-5.78774067051774
TGME49_213490	-0.546461728563672
TGME49_213520	0.578901592430577
TGME49_213550	0.834052928508471
TGME49_213570	-1.50466554118608
TGME49_213580	-2.28668096670291
TGME49_213590	1.52615104731583
TGME49_213610	9.011654828997
TGME49_213650	-0.516746959227376
TGME49_213660	0.936130278357266
TGME49_213670	-0.974744718370294
TGME49_213680	-1.66676482468721
TGME49_213690	0.535281867777569
TGME49_213710	-0.583363422663569
TGME49_213730	3.17101447704141
TGME49_213740	-1.70294665035917
TGME49_213770	-1.75943144337144
TGME49_213780	6.29324759608865
TGME49_213790	0.248508495489117
TGME49_213800	2.14621258559616
TGME49_213830	1.76220745872151
TGME49_213890	1.30284175402158
TGME49_213900	-0.941019595676959
TGME49_213910	1.81751701164241
TGME49_213920	1.94249329901962
TGME49_213930	-2.43662012346579
TGME49_213940	0.495237511020201
TGME49_213950	-1.56011567177798
TGME49_213970	-0.732261476766938
TGME49_214080	4.53916300475323
TGME49_214090	2.53745617093169
TGME49_214100	0.246904107379481
TGME49_214110	-0.93547171762684
TGME49_214120	-0.297361162785041
TGME49_214130	3.38694451846895
TGME49_214140	0.345560994613809
TGME49_214150	-2.09724988525547
TGME49_214170	-0.18302576778549
TGME49_214180	0.973176709774807
TGME49_214200	-3.06439317356707
TGME49_214210	-1.71564482879721
TGME49_214220	7.59272412486033
TGME49_214240	-0.603546944052026
TGME49_214250	0.543484375482703
TGME49_214260	4.26629407609773
TGME49_214270	-1.40913854531624
TGME49_214280	-1.43898968799054
TGME49_214290	0.536632887052622
TGME49_214300	4.40123842331105
TGME49_214310	-0.557598367992142
TGME49_214330	0.503547240183699
TGME49_214340	-1.01654984587972
TGME49_214350	-0.87199235068668
TGME49_214370	-2.00053763437609
TGME49_214380	-0.244734652837316
TGME49_214410	5.05013049383563
TGME49_214430	-4.52575517154999
TGME49_214440	5.08675606987627
TGME49_214470	-0.785201093908193
TGME49_214480	1.53486138625174
TGME49_214490	-1.86500487056378
TGME49_214500	-0.738122777972031
TGME49_214530	-0.274018106382646
TGME49_214540	-0.104226923094019
TGME49_214560	1.09510114887993
