gene_id	fit_complete_medium_2025	fit_no_glutamine	fit_no_glucose	fit_glucose_dependence	fit_glucose_dependence_fdr
TGGT1_315690	-3.082612077	-0.6718657214	-0.2081545708	0.005918152339	1
TGGT1_226610	0.5739588275	0.2663482468	0.2663320262	0.006100959216	1
TGGT1_220290	0.9517044567	0.3369324235	0.3434004749	0.00627139225	1
TGGT1_313775	0.6628557244	0.1703070165	0.1748455019	0.006355514352	1
TGGT1_278370	0.2586007472	0.2274476033	0.2238030958	0.006466255136	1
TGGT1_257360	-0.2641131992	0.2158418592	0.2524650118	0.00648557765	1
TGGT1_266010	0.7022349777	0.2912474937	0.2964091402	0.006706797027	1
TGGT1_247660	1.035536761	0.4988372455	0.5105209001	0.006728681307	1
TGGT1_283570	-0.6922380858	0.08358746227	0.09315401012	0.00684326418	1
TGGT1_257990	0.3848238897	0.2321602238	0.253121805	0.007057577516	1
TGGT1_306900	0.8952075388	0.6730138206	0.6722191562	0.007164937507	1
TGGT1_248225	0.7091089696	0.1135551559	0.1422731005	0.007236947467	1
TGGT1_215380	0.8886089777	0.2481508519	0.26093332	0.007296858893	1
TGGT1_205100	1.449380024	0.08721321417	0.1154096466	0.007428159913	1
TGGT1_295970	1.448265415	0.2284086809	0.231587391	0.007589641495	1
TGGT1_297390	-0.6743445605	0.07065959256	0.05514042572	0.007671362412	1
TGGT1_284630	1.003453027	-0.02854952615	-0.02130583337	0.007720509967	1
TGGT1_273750	1.477119614	0.582979257	0.5883881176	0.007818805308	1
TGGT1_306290	-2.374156346	-4.921556781	-4.921556781	0.00792771695	1
TGGT1_279310	2.042798176	0.243243402	0.2631358315	0.008003567824	1
TGGT1_249160	-0.2860279383	0.3310807396	0.3206518143	0.008183117915	1
TGGT1_306895	0.9975402489	0.4515371002	0.4747726225	0.008283293206	1
TGGT1_310235	0.7206771335	0.5339229513	0.5764682369	0.008599739459	1
TGGT1_209050	0.6295085527	-0.01429705974	-0.006715221463	0.008755872684	1
TGGT1_224575	-0.7291177856	-0.4879256571	-0.3025592265	0.008958005102	1
TGGT1_247550	-2.105035585	-4.965061273	-4.965061273	0.009189364246	1
TGGT1_243570	-3.008496808	-4.697498372	-4.697498372	0.009375402642	1
TGGT1_247020	-0.6140039129	-0.1970010165	-0.1182313548	0.009621597278	1
TGGT1_272500	1.138049924	0.3888643878	0.3933125012	0.009682406414	1
TGGT1_307650	1.195121633	0.2669483974	0.2738199874	0.009712829431	1
TGGT1_280518	1.109702688	0.3589093487	0.3634574287	0.009771361472	1
TGGT1_264790	-0.2927011466	0.6874122436	0.6978910201	0.009824498911	1
TGGT1_232530	-3.466623789	-2.819033586	-2.813286824	0.009865585958	1
TGGT1_265250	1.216257654	-2.164163063	-2.193401377	0.009889420817	1
TGGT1_319360	0.7914058259	0.5791276919	0.5913014462	0.01011552729	1
TGGT1_236400	1.704849057	0.564406266	0.5608022882	0.01017804543	1
TGGT1_265820	-3.034472331	-2.796735717	-2.796735717	0.01017984729	1
TGGT1_236640	-0.02305526124	-0.5426597914	-0.5074757215	0.0102911677	1
TGGT1_270980	-0.5198033678	-0.5139464142	-0.4852695037	0.01041013465	1
TGGT1_219738	-2.955355926	-3.404105144	-3.404105144	0.0105797456	1
