fold,selected_structure,category,precision,recall,f1,support
3,e029__hdb_mcs20_ms10_leaf,micronemes,0.0,0.0,0.0,11
3,e029__hdb_mcs20_ms10_leaf,mitochondrion - membranes,0.0,0.0,0.0,38
3,e029__hdb_mcs20_ms10_leaf,mitochondrion - soluble,0.0,0.0,0.0,55
3,e029__hdb_mcs20_ms10_leaf,nucleolus,0.0,0.0,0.0,7
3,e029__hdb_mcs20_ms10_leaf,nucleus - chromatin,0.525,0.13636363636363635,0.21649484536082475,154
3,e029__hdb_mcs20_ms10_leaf,nucleus - non-chromatin,0.0,0.0,0.0,92
3,e029__hdb_mcs20_ms10_leaf,rhoptries 1,0.0,0.0,0.0,14
3,e029__hdb_mcs20_ms10_leaf,rhoptries 2,0.6666666666666666,0.2,0.3076923076923077,10
3,e029__hdb_mcs20_ms10_leaf,tubulin cytoskeleton,0.0,0.0,0.0,1
4,e029__hdb_mcs20_ms10_leaf,19S proteasome,0.0,0.0,0.0,3
4,e029__hdb_mcs20_ms10_leaf,20S proteasome,0.0,0.0,0.0,3
4,e029__hdb_mcs20_ms10_leaf,40S ribosome,0.0,0.0,0.0,6
4,e029__hdb_mcs20_ms10_leaf,60S ribosome,0.0,0.0,0.0,8
4,e029__hdb_mcs20_ms10_leaf,ER,0.0,0.0,0.0,50
4,e029__hdb_mcs20_ms10_leaf,ER 2,0.0,0.0,0.0,4
4,e029__hdb_mcs20_ms10_leaf,Golgi,0.0,0.0,0.0,30
4,e029__hdb_mcs20_ms10_leaf,IMC,0.0,0.0,0.0,20
4,e029__hdb_mcs20_ms10_leaf,PM - integral,0.0,0.0,0.0,27
4,e029__hdb_mcs20_ms10_leaf,PM - peripheral 1,0.3333333333333333,0.1111111111111111,0.16666666666666666,9
4,e029__hdb_mcs20_ms10_leaf,PM - peripheral 2,0.0,0.0,0.0,9
4,e029__hdb_mcs20_ms10_leaf,apical 1,0.0,0.0,0.0,11
4,e029__hdb_mcs20_ms10_leaf,apical 2,0.0,0.0,0.0,3
4,e029__hdb_mcs20_ms10_leaf,apicoplast,0.0,0.0,0.0,34
4,e029__hdb_mcs20_ms10_leaf,cytosol,0.25,0.008333333333333333,0.016129032258064516,120
4,e029__hdb_mcs20_ms10_leaf,dense granules,0.7,0.5384615384615384,0.6086956521739131,39
4,e029__hdb_mcs20_ms10_leaf,endomembrane vesicles,0.0,0.0,0.0,7
4,e029__hdb_mcs20_ms10_leaf,micronemes,0.0,0.0,0.0,11
4,e029__hdb_mcs20_ms10_leaf,mitochondrion - membranes,0.0,0.0,0.0,39
4,e029__hdb_mcs20_ms10_leaf,mitochondrion - soluble,0.0,0.0,0.0,55
4,e029__hdb_mcs20_ms10_leaf,nucleolus,0.0,0.0,0.0,6
4,e029__hdb_mcs20_ms10_leaf,nucleus - chromatin,0.6551724137931034,0.12418300653594772,0.2087912087912088,153
4,e029__hdb_mcs20_ms10_leaf,nucleus - non-chromatin,0.0,0.0,0.0,92
4,e029__hdb_mcs20_ms10_leaf,rhoptries 1,0.0,0.0,0.0,14
4,e029__hdb_mcs20_ms10_leaf,rhoptries 2,0.2,0.1,0.13333333333333333,10
4,e029__hdb_mcs20_ms10_leaf,tubulin cytoskeleton,0.0,0.0,0.0,2
