organism,strategy,parameter,value,runs,skill,skill_low,skill_high,pass_rate
Pf,multiplex_modules,target,pb_transferred_phenotype,30,0.0979705972448341,0.09116418225442155,0.10477701223524666,1.0
Pf,multiplex_modules,target,stage_enriched_derived,30,-0.006917691888994119,-0.040741846690252805,0.02690646291226457,0.1
Pf,neighbour_space,k,10,30,0.5431283089860518,0.4726511408189701,0.6136054771531335,1.0
Pf,neighbour_space,k,25,30,0.5431283089860518,0.4726511408189701,0.6136054771531335,1.0
Pf,neighbour_space,k,5,30,0.5431283089860518,0.4726511408189701,0.6136054771531335,1.0
Pf,neighbour_space,knn,15,45,0.5431283089860516,0.48674724146929327,0.5995093765028099,1.0
Pf,neighbour_space,knn,5,45,0.5431283089860516,0.48674724146929327,0.5995093765028099,1.0
Pf,neighbour_space,layer,coexpression,30,0.392383202438945,0.3827862842836789,0.40198012059421107,1.0
Pf,neighbour_space,layer,cotranslation,30,0.44212765415363803,0.4240419005821926,0.46021340772508346,1.0
Pf,neighbour_space,layer,struct,30,0.7948740703655717,0.7705552180657047,0.8191929226654386,1.0
Pf,network_training,fraction,0.25,30,0.5404011066948063,0.46531818976149314,0.6154840236281196,1.0
Pf,network_training,fraction,0.4,30,0.5356072566163436,0.46836175259279333,0.6028527606398938,1.0
Pf,network_training,layer,coexpression,20,0.38126591114894676,0.3668901660162946,0.3956416562815989,1.0
Pf,network_training,layer,cotranslation,20,0.4373608911348385,0.4213781311057473,0.4533436511639297,1.0
Pf,network_training,layer,struct,20,0.7953857426829395,0.7703306808152336,0.8204408045506454,1.0
Pf,network_training,model,embedding,30,0.5334188467807335,0.4596784719545733,0.6071592216068936,1.0
Pf,network_training,model,logistic,30,0.5425895165304164,0.4739065393466517,0.6112724937141811,1.0
Pf,paralog_divergence,min_shared,10,15,-0.02136383252718021,-0.12533678914140942,0.08260912408704899,0.3333333333333333
Pf,paralog_divergence,min_shared,30,15,-0.02136383252718021,-0.12533678914140942,0.08260912408704899,0.3333333333333333
Pf,paralog_divergence,min_shared,5,15,-0.02136383252718021,-0.12533678914140942,0.08260912408704899,0.3333333333333333
Pf,paralog_divergence,target,is_exported,15,0.11612234257999836,0.11189791551201247,0.12034676964798424,1.0
Pf,paralog_divergence,target,pb_transferred_phenotype,15,-0.15885000763435878,-0.16622788539004035,-0.1514721298786772,0.0
Pf,paralog_divergence,target,stage_enriched_derived,15,,,,0.0
Pf,physical_partners,target,is_exported,5,0.14865824337189995,-0.11407711798641015,0.41139360473021,0.0
Pf,physical_partners,target,pb_transferred_phenotype,5,0.018352468002953332,-0.15976221699142432,0.196467152997331,0.0
Pf,physical_partners,target,stage_enriched_derived,5,,,,0.0
Pf,positive_unlabeled,bags,15,15,0.8919813985048431,0.8376531787315011,0.9463096182781852,1.0
Pf,positive_unlabeled,bags,40,15,0.8916442893342704,0.8369811926032108,0.94630738606533,1.0
Pf,positive_unlabeled,bags,5,15,0.8891631805054262,0.8332537079488016,0.9450726530620508,1.0
Pf,positive_unlabeled,exclude,is_exported,15,0.9118514737929446,0.9024212755528381,0.9212816720330511,1.0
Pf,positive_unlabeled,exclude,pb_transferred_phenotype,15,0.9952782077661646,0.9946394891828828,0.9959169263494464,1.0
Pf,positive_unlabeled,exclude,stage_enriched_derived,15,0.7656591867854307,0.7556689811255173,0.775649392445344,1.0
Pf,recoverability_atlas,k,15,15,0.6236463347909503,0.5253582052996726,0.7219344642822281,1.0
Pf,recoverability_atlas,k,5,15,0.5306474579268878,0.4433717520935745,0.6179231637602012,1.0
Pf,recoverability_atlas,k,50,15,0.6709183509373282,0.586001429483282,0.7558352723913744,1.0
Pf,recoverability_atlas,target,is_exported,15,0.6451838247922764,0.5470567707434643,0.7433108788410886,1.0
Pf,recoverability_atlas,target,pb_transferred_phenotype,15,0.48407585005421233,0.4436841320503258,0.5244675680580988,1.0
Pf,recoverability_atlas,target,stage_enriched_derived,15,0.6959524688086777,0.6035773340362529,0.7883276035811024,1.0
Pf,seed_expansion,exclude,is_exported,30,0.8416354531438676,0.8142933289404801,0.868977577347255,1.0
Pf,seed_expansion,exclude,pb_transferred_phenotype,30,0.8874158907142558,0.8469200710064065,0.927911710422105,1.0
Pf,seed_expansion,exclude,stage_enriched_derived,30,0.19575244636283456,0.010550233848410834,0.3809546588772583,0.5
Pf,seed_expansion,mode,networks,45,0.4257818282538466,0.2716136414975625,0.5799500150101307,0.6666666666666666
Pf,seed_expansion,mode,networks + measurements,45,0.8574206985601253,0.8161899045201376,0.8986514926001129,1.0
Pf,seed_expansion,restart,0.1,30,0.6393049761175463,0.47650519154995735,0.8021047606851353,0.8333333333333334
Pf,seed_expansion,restart,0.3,30,0.6415700145664379,0.4784423291810427,0.8046976999518332,0.8333333333333334
Pf,seed_expansion,restart,0.6,30,0.643928799536974,0.48043293030514855,0.8074246687687995,0.8333333333333334
Pf,set_enrichment,exclude,is_exported,5,0.8987292274093118,0.8736999433979051,0.9237585114207185,1.0
Pf,set_enrichment,exclude,pb_transferred_phenotype,5,0.9487084929671342,0.9443682313616217,0.9530487545726467,1.0
Pf,set_enrichment,exclude,stage_enriched_derived,5,0.69287251243708,0.6476277402098972,0.7381172846642629,1.0
Pf,split_clusters,min_cluster_size,15,5,,,,0.0
Pf,split_clusters,min_cluster_size,40,5,,,,0.0
Pf,split_clusters,min_cluster_size,80,5,,,,0.0
Pf,stratum_focus,stratum,conserved,15,-0.021740173233418626,-0.3324799927503415,0.2889996462835042,0.4
Pf,stratum_focus,stratum,hypothetical protein,15,,,,0.0
Pf,stratum_focus,stratum,lineage-specific,15,-0.02040816326530617,-0.02040816326530617,-0.02040816326530617,0.0
Pf,stratum_focus,stratum,understudied,15,-0.1064583628243599,-0.4743137801195675,0.2613970544708477,0.3333333333333333
Pf,stratum_focus,target,is_exported,20,-0.6159298984088177,-1.1764982353023763,-0.05536156151525917,0.0
Pf,stratum_focus,target,pb_transferred_phenotype,20,0.3635865327530953,0.3511359865094758,0.37603707899671485,0.5
Pf,stratum_focus,target,stage_enriched_derived,20,0.05273158658411275,-0.010083384918911274,0.11554655808713676,0.05
Pf,structural_homology,level,1,5,0.587120137332662,0.5263022470203661,0.6479380276449579,1.0
Pf,structural_homology,level,2,5,0.663219901295135,0.573748903990156,0.752690898600114,1.0
Pf,structural_homology,level,3,5,0.749108808616065,0.6485654986445187,0.8496521185876112,1.0
Pf,supervised_classifier,C,0.01,15,0.3866774189926768,0.34569137481564555,0.4276634631697081,1.0
Pf,supervised_classifier,C,0.1,15,0.39797032568476454,0.3606039389564575,0.4353367124130716,1.0
Pf,supervised_classifier,C,1.0,15,0.3991465102326569,0.3456692627569903,0.4526237577083235,0.9333333333333333
Pf,supervised_classifier,C,10.0,15,0.35828759548660083,0.32037130201530856,0.3962038889578931,0.8666666666666667
Pf,supervised_classifier,target,is_exported,20,0.3996390380231535,0.3590870037894973,0.44019107225680965,0.85
Pf,supervised_classifier,target,pb_transferred_phenotype,20,0.32897620336938355,0.3176430189190019,0.3403093878197652,1.0
Pf,supervised_classifier,target,stage_enriched_derived,20,0.42794614640498707,0.3948268429644936,0.46106544984548054,1.0
Pf,trait_regression,model,boosted,30,0.5166491065365246,0.4213582676843518,0.6119399453886974,1.0
Pf,trait_regression,model,ridge,30,0.4558237802658367,0.3446333225402459,0.5670142379914275,0.8666666666666667
Pf,trait_regression,own_kind,include,30,0.4862364434011806,0.3820479460486559,0.5904249407537053,0.9333333333333333
Pf,trait_regression,own_kind,leave out,30,0.4862364434011806,0.3820479460486559,0.5904249407537053,0.9333333333333333
Pf,trait_regression,target,expr_schizont,20,0.18029132816567967,0.13918404932811415,0.22139860700324518,0.8
Pf,trait_regression,target,mean_plddt,20,0.8357945865577084,0.8288037546725342,0.8427854184428827,1.0
Pf,trait_regression,target,piggybac_mis,20,0.4426234154801539,0.4314854920360221,0.45376133892428566,1.0
Pf,triangulation,min_agree,1,15,0.034696963831477225,-0.28143256261079796,0.35082649027375246,0.4666666666666667
Pf,triangulation,min_agree,2,15,0.1507290464561017,-0.19381089160233345,0.4952689845145368,0.6666666666666666
Pf,triangulation,min_agree,3,15,0.6483687820181256,0.5169323524178783,0.779805211618373,0.4
Pf,triangulation,target,is_exported,15,-0.07075648910652696,-0.5424322709472179,0.40091929273416393,0.0
Pf,triangulation,target,pb_transferred_phenotype,15,0.4454108577480605,0.3982483368284702,0.4925733786676508,1.0
Pf,triangulation,target,stage_enriched_derived,15,0.4591404236641709,0.3138531181200718,0.60442772920827,0.5333333333333333
Pf,understudied_first,min_agree,1,15,-0.0478157820645312,-0.4299288890419569,0.33429732491289454,0.4
Pf,understudied_first,min_agree,2,15,0.06489106000771744,-0.3398713576933568,0.4696534777087917,0.6
Pf,understudied_first,min_agree,3,15,0.6264041788696183,0.4367588435955505,0.8160495141436861,0.3333333333333333
Pf,understudied_first,target,is_exported,15,-0.17756667478693594,-0.7346955401210198,0.37956219054714796,0.0
Pf,understudied_first,target,pb_transferred_phenotype,15,0.4472370752874825,0.4005668364777856,0.4939073140971794,1.0
Pf,understudied_first,target,stage_enriched_derived,15,0.3738090563122581,0.16812740733799963,0.5794907052865166,0.3333333333333333
Pf,unwritten_links,min_layers,1,5,0.1079946931532286,0.1051729009624932,0.110816485343964,1.0
Pf,unwritten_links,min_layers,2,5,0.1079946931532286,0.1051729009624932,0.110816485343964,1.0
Pf,unwritten_links,min_layers,3,5,0.1079946931532286,0.1051729009624932,0.110816485343964,1.0
Tg,attention_correction,target,compartment,15,0.5199030844320025,0.4298856018001034,0.6099205670639016,1.0
Tg,attention_correction,target,dtm_class,15,0.12378392854009578,0.10096473502312761,0.14660312205706394,0.3333333333333333
Tg,attention_correction,target,lopit_unified,15,0.565137117200616,0.4834731743768621,0.6468010600243699,1.0
Tg,attention_correction,target,screen_any_phenotype,15,0.1833418159629728,0.17390556330257698,0.19277806862336863,0.0
Tg,attention_correction,target,stage_enriched_derived,15,0.3431103530054964,0.3313614345968313,0.3548592714141615,1.0
Tg,attention_correction,top,1000,25,0.25562876323717215,0.20840447781650082,0.3028530486578435,0.6
Tg,attention_correction,top,200,25,0.375615065963951,0.294263820391528,0.456966311536374,0.8
Tg,attention_correction,top,50,25,0.409921950283587,0.3086163346456038,0.5112275659215703,0.6
Tg,blind_battery,map_from,PTM,5,0.948564475636792,0.9075339579447699,0.9895949933288142,1.0
Tg,blind_battery,map_from,chemistry,5,0.9676437787556995,0.9496287230055378,0.9856588345058612,1.0
Tg,blind_battery,map_from,fitness,5,0.9434895982294984,0.8871663944137483,0.9998128020452485,1.0
Tg,blind_battery,map_from,host effect,5,0.8583198299187218,0.6917009945140731,1.0249386653233705,1.0
Tg,blind_battery,map_from,immunity,5,0.6419121608027155,0.3219308607406327,0.9618934608647983,1.0
Tg,blind_battery,map_from,localization,5,0.9624937206776689,0.9172066619171276,1.0077807794382103,1.0
Tg,blind_battery,map_from,metabolism,5,0.8403120037110652,0.7473502365806111,0.9332737708415193,1.0
Tg,blind_battery,map_from,phenotype,5,0.8191872278381152,0.7137815435214967,0.9245929121547336,1.0
Tg,blind_battery,map_from,protein abundance,5,0.9414227841876329,0.9074231081615532,0.9754224602137126,1.0
Tg,blind_battery,map_from,regulation,5,0.905242516496789,0.8037132466606633,1.0067717863329146,1.0
Tg,blind_battery,map_from,relation,5,0.9233430122419339,0.8512928450167085,0.9953931794671593,1.0
Tg,blind_battery,map_from,sequence,5,0.9598335693134041,0.9370756692619078,0.9825914693649005,1.0
Tg,blind_battery,map_from,transcription,5,0.9487876833706803,0.8593490469259388,1.0382263198154218,1.0
Tg,blind_battery,map_from,translation,5,0.9659863775217158,0.9461325038906127,0.9858402511528189,1.0
Tg,block_ablation,k,15,25,0.13987125040030002,0.09212526420222711,0.18761723659837293,0.64
Tg,block_ablation,k,5,25,0.16492490629118983,0.12162042413118908,0.2082293884511906,0.76
Tg,block_ablation,k,50,25,0.10451974834956994,0.06509106025097516,0.1439484364481647,0.6
Tg,block_ablation,target,compartment,15,0.12046829254732258,0.10631769966306989,0.13461888543157527,1.0
Tg,block_ablation,target,dtm_class,15,0.04316435867480954,0.024491910953150738,0.061836806396468345,0.26666666666666666
Tg,block_ablation,target,lopit_unified,15,0.12617613325349017,0.11381304379519612,0.1385392227117842,1.0
Tg,block_ablation,target,screen_any_phenotype,15,0.07736752113895169,0.028486006716925152,0.12624903556097822,0.06666666666666667
Tg,block_ablation,target,stage_enriched_derived,15,0.31501686945385904,0.2844821378311327,0.3455516010765854,1.0
