organism,strategy,settings,metric,runs,conclusive,pass_rate,observed,observed_low,observed_high,chance,skill,skill_low,skill_high,seconds
Pf,block_ablation,"{""k"": 50, ""target"": ""stage_enriched_derived""}",hidden accuracy of the evidence ranked first (idc),5,5,0.8,0.7396638655462184,0.6850629879270664,0.7942647431653704,0.6645989304812835,0.22209706779916458,0.06936847810417893,0.3748256574941502,0.6119999999999999
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,3,0.6,0.4206321334503951,-0.20642343345854663,1.0476877003593368,0.016666666666666666,0.4153689755556582,-0.19001606366508594,1.0207540147764025,6.17
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.536
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.156
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,4,0.8,0.2695887445887446,0.15562715680062872,0.3835503323768605,0.0,0.2695887445887446,0.15562715680062872,0.3835503323768605,7.252
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,5,1.0,0.8893332677342911,0.7857164218214234,0.9929501136471588,0.01,0.8877443898792763,0.7828512643756208,0.9926375153829318,10.166
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,7.25
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,3,0.6,0.4206321334503951,-0.20642343345854663,1.0476877003593368,0.016666666666666666,0.4153689755556582,-0.19001606366508594,1.0207540147764025,6.11
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.534000000000001
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.276
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,4,0.8,0.2695887445887446,0.15562715680062872,0.3835503323768605,0.0,0.2695887445887446,0.15562715680062872,0.3835503323768605,6.144
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,1,0.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.453999999999999
Pf,cluster_guilt,"{""min_cluster_size"": 10, ""min_lift"": 3.0, ""selection"": ""leaf"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.3180000000000005
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,3,0.6,0.4206321334503951,-0.20642343345854663,1.0476877003593368,0.0,0.4206321334503951,-0.20642343345854663,1.0476877003593368,6.128
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.589999999999999
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 1.5, ""selection"": ""eom"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,5.959999999999999
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,5,1.0,0.3575171246817659,0.09033512416910794,0.6246991251944238,0.0,0.3575171246817659,0.09033512416910794,0.6246991251944238,4.062
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,5,1.0,0.7051640038554781,0.4814877608552264,0.9288402468557297,0.013238636363636364,0.7022209725332161,0.47455340653814515,0.9298885385282871,4.234
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 1.5, ""selection"": ""leaf"", ""target"": ""stage_enriched_derived""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,3.88
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""is_exported""}",precision of calls on hidden genes,5,3,0.6,0.4206321334503951,-0.20642343345854663,1.0476877003593368,0.0,0.4206321334503951,-0.20642343345854663,1.0476877003593368,6.116
Pf,cluster_guilt,"{""min_cluster_size"": 25, ""min_lift"": 3.0, ""selection"": ""eom"", ""target"": ""pb_transferred_phenotype""}",precision of calls on hidden genes,5,0,0.0,,,,,,,,6.499999999999998
