target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,15,0.25,25,42,8140,30,2,0.0019656019656019656,1,attention_depth,0.2896726374672166,0.370069726298262,incidental,3,0
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,15,0.25,60,42,8140,30,2,0.0031941031941031942,1,attention_depth,0.28965993652062316,0.3701853008536332,incidental,3,0
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,15,0.0,60,42,8140,30,2,0.0018427518427518428,1,attention_depth,0.28961554922290156,0.3699542238868082,incidental,3,0
attention_depth,expression_summary+expression_raw+fitness_screens,median,rank,15,0.0,25,42,8140,30,2,0.0018427518427518428,1,attention_depth,0.28961554922290156,0.3699542238868082,incidental,3,0
attention_depth,expression_summary+fitness_screens+published_screens,median,rank,50,0.0,60,42,8140,24,3,0.015724815724815724,1,attention_depth,0.28914231552869446,0.3691275167785235,incidental,3,0
attention_depth,expression_summary+fitness_screens+published_screens,median,rank,50,0.0,25,42,8140,24,4,0.006633906633906634,1,attention_depth,0.28900202711749984,0.36897449245184805,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,50,0.0,25,42,8140,22,5,0.0052825552825552825,1,attention_depth,0.28873698977955997,0.36888515641402475,incidental,3,0
attention_depth,expression_raw,median,rank,50,0.0,60,42,8140,18,4,0.0042997542997543,1,attention_depth,0.2885428940125566,0.3686315789473684,incidental,3,0
attention_depth,expression_summary+fitness_screens+published_screens,median,rank,50,0.25,60,42,8140,24,2,0.08022113022113023,1,attention_depth,0.28853755067457687,0.36866052602374877,incidental,3,0
attention_depth,expression_raw,median,rank,50,0.0,25,42,8140,18,6,0.006633906633906634,1,attention_depth,0.28851467177693524,0.36890340250711046,incidental,3,0
attention_depth,expression_raw,median,rank,50,0.25,25,42,8140,18,5,0.02727272727272727,1,attention_depth,0.28774215246130586,0.3681720430107527,incidental,3,0
attention_depth,expression_raw,median,rank,50,0.25,60,42,8140,18,3,0.03488943488943489,1,attention_depth,0.2875127098848781,0.36734693877551017,incidental,3,0
attention_depth,expression_summary+published_screens,median,rank,15,0.25,60,42,8140,16,2,0.013513513513513514,1,attention_depth,0.2874652830925683,0.3673970919516691,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,50,0.25,60,42,8140,22,2,0.0014742014742014742,1,attention_depth,0.287234397721114,0.3669893020886398,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,50,0.0,60,42,8140,22,2,0.0,1,attention_depth,0.2872074628968597,0.3670396744659207,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,50,0.25,25,42,8140,22,2,0.0004914004914004914,1,attention_depth,0.28720651112393303,0.36702290076335875,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,15,0.25,25,42,8140,22,2,0.0,1,attention_depth,0.2871777838867836,0.3670023395381955,incidental,3,0
attention_depth,expression_summary+expression_raw,median,rank,15,0.25,60,42,8140,22,2,0.0,1,attention_depth,0.2871777838867836,0.3670023395381955,incidental,3,0
attention_depth,expression_raw,median,rank,15,0.25,60,42,8140,18,2,0.0,1,attention_depth,0.28715250176665985,0.36694820392795363,incidental,3,0
attention_depth,expression_raw,median,rank,15,0.0,60,42,8140,18,2,0.0,1,attention_depth,0.28715250176665985,0.36694820392795363,incidental,3,0
attention_depth,expression_raw,median,rank,15,0.25,25,42,8140,18,2,0.0,1,attention_depth,0.28715250176665985,0.36694820392795363,incidental,3,0
attention_depth,expression_summary,median,rank,15,0.25,60,42,8140,4,2,0.0,1,attention_depth,0.2871184443072256,0.3669276924641513,incidental,3,0
attention_depth,expression_summary,median,rank,15,0.25,25,42,8140,4,2,0.0,1,attention_depth,0.2871184443072256,0.3669276924641513,incidental,3,0
attention_depth,expression_summary,median,rank,50,0.25,60,42,8140,4,2,0.0,1,attention_depth,0.2871184443072256,0.3669276924641513,incidental,3,0
attention_depth,expression_summary,median,rank,50,0.25,25,42,8140,4,2,0.0,1,attention_depth,0.2871184443072256,0.3669276924641513,incidental,3,0
attention_depth,expression_summary,median,rank,50,0.0,60,42,8140,4,2,0.0,1,attention_depth,0.2871184443072256,0.3669276924641513,incidental,3,0
attention_depth,expression_summary+expression_raw+published_screens,median,rank,15,0.0,60,42,8140,34,2,0.005896805896805897,1,attention_depth,0.2866951390885124,0.36657517535834094,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,50,0.25,25,42,8140,24,15,0.09361179361179361,1,attention_depth,0.2865751660044536,0.3598875351452671,incidental,3,0
attention_depth,expression_raw+fitness_screens,median,rank,15,0.25,25,42,8140,26,2,0.01511056511056511,1,attention_depth,0.2865259656247945,0.36657131181038005,incidental,3,0
attention_depth,expression_summary+published_screens,median,rank,15,0.25,25,42,8140,16,2,0.009582309582309583,1,attention_depth,0.2864079265919144,0.36627194773376887,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,15,0.25,25,42,8140,12,2,0.0,1,attention_depth,0.285900964555398,0.3653846153846154,incidental,3,0
attention_depth,expression_summary+published_screens,median,rank,50,0.0,25,42,8140,16,32,0.20810810810810812,1,attention_depth,0.28583151834203374,0.35589318600368325,incidental,3,0
attention_depth,expression_summary+fitness_screens,median,rank,50,0.25,25,42,8140,12,2,0.004054054054054054,1,attention_depth,0.2858041974255753,0.36535529124733146,incidental,3,0
attention_depth,expression_summary+expression_raw+published_screens,median,rank,15,0.25,25,42,8140,34,2,0.037592137592137594,1,attention_depth,0.2857653985754357,0.36606111519479156,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,50,0.0,60,42,8140,12,7,0.0,1,attention_depth,0.2856226717552998,0.3582295988934993,incidental,3,0
attention_depth,expression_summary+expression_raw+protein_features,median,rank,15,0.0,25,42,8140,35,30,0.11425061425061425,1,attention_depth,0.2854887997602375,0.3447953216374269,incidental,3,0
attention_depth,expression_raw+fitness_screens,median,rank,15,0.0,25,42,8140,26,2,0.0018427518427518428,1,attention_depth,0.2852449294470941,0.36488395560040365,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.25,60,42,8140,24,10,0.06535626535626536,1,attention_depth,0.2849087004760859,0.35498462095169175,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,15,0.25,25,42,8140,20,2,0.0,1,attention_depth,0.28484824437477585,0.3639220615964802,incidental,3,0
attention_depth,expression_summary+published_screens+interactions,median,rank,15,0.25,60,42,8140,20,2,0.0,1,attention_depth,0.28484824437477585,0.3639220615964802,incidental,3,0
attention_depth,expression_raw,median,rank,15,0.0,25,42,8140,18,6,0.005528255528255528,1,attention_depth,0.2848078767652342,0.3626111472565604,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,50,0.0,25,42,8140,12,10,0.0022113022113022115,1,attention_depth,0.2841829728721351,0.35639412997903563,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,15,0.25,25,42,8140,12,3,0.0015970515970515971,1,attention_depth,0.2841506328981235,0.3630404905381118,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,15,0.25,60,42,8140,12,3,0.0015970515970515971,1,attention_depth,0.2841506328981235,0.3630404905381118,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,50,0.25,25,42,8140,12,3,0.0,1,attention_depth,0.28375414480447964,0.3625422297297297,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,50,0.25,60,42,8140,12,3,0.0,1,attention_depth,0.28375414480447964,0.3625422297297297,incidental,3,0
attention_depth,expression_raw+published_screens+interactions,median,rank,15,0.25,25,42,8140,34,4,0.005159705159705159,1,attention_depth,0.28366545166287543,0.3622745015296972,incidental,3,0
attention_depth,expression_raw+interactions,median,rank,50,0.25,25,42,8140,22,3,0.0,1,attention_depth,0.28362118206390097,0.3623310810810811,incidental,3,0
attention_depth,expression_raw+interactions,median,rank,50,0.25,60,42,8140,22,3,0.0,1,attention_depth,0.28362118206390097,0.3623310810810811,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.25,25,42,8140,24,15,0.025552825552825554,1,attention_depth,0.2834448365425351,0.3548840477863669,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.0,25,42,8140,24,20,0.007125307125307125,1,attention_depth,0.2828373174494232,0.35567099567099564,incidental,3,0
attention_depth,fitness_screens+published_screens+interactions,median,rank,15,0.0,60,42,8140,24,10,0.007248157248157248,1,attention_depth,0.28260746170640955,0.3554248139816577,incidental,3,0
attention_depth,expression_raw+interactions,median,rank,50,0.0,25,42,8140,22,24,0.07235872235872236,1,attention_depth,0.28156500968643816,0.35364310251310793,incidental,3,0
attention_depth,expression_summary+interactions,median,rank,50,0.0,60,42,8140,8,6,0.0,1,attention_depth,0.28153086068153604,0.3512110726643599,incidental,3,0
attention_depth,expression_summary+expression_raw+protein_features,median,rank,50,0.25,25,42,8140,35,14,0.14115479115479115,1,attention_depth,0.280046762227824,0.33930348258706466,incidental,3,0
attention_depth,published_screens+interactions,median,rank,50,0.25,60,42,8140,16,7,0.009582309582309583,1,attention_depth,0.2799903776152931,0.3506311360448808,incidental,3,0
attention_depth,published_screens+interactions,median,rank,50,0.25,25,42,8140,16,10,0.013882063882063882,1,attention_depth,0.27996652483593293,0.35001800504141156,incidental,3,0
attention_depth,fitness_screens+interactions,median,rank,15,0.0,60,42,8140,12,9,0.023955773955773956,1,attention_depth,0.27992231938321654,0.35029670922495953,incidental,3,0
attention_depth,published_screens+interactions,median,rank,15,0.25,60,42,8140,16,9,0.014127764127764128,1,attention_depth,0.2795705798996,0.35184860697389164,incidental,3,0
