target,blocks,na_policy,scaling,n_neighbors,min_dist,min_cluster_size,seed,n_genes,n_features,n_clusters,noise_frac,n_excluded,excluded,mean_f1,best_f1,best_label,n_labels_scored,n_labels_recovered
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,50,0.0,60,42,8140,39,2,0.0,1,cellcycle_phase,0.3828370482516783,0.4342857142857143,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,30,0.0,25,42,8140,39,2,0.0,1,cellcycle_phase,0.3821340403638437,0.43490701001430615,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,30,0.0,40,42,8140,39,2,0.0,1,cellcycle_phase,0.3821340403638437,0.43490701001430615,S,5,0
cellcycle_phase,expression_raw+fitness_screens+protein_features,median,rank,30,0.0,60,42,8140,39,2,0.0,1,cellcycle_phase,0.3821340403638437,0.43490701001430615,S,5,0
cellcycle_phase,expression_summary+fitness_screens,median,rank,50,0.0,40,42,8140,12,10,0.14766584766584767,1,cellcycle_phase,0.3807878709012533,0.44494382022471907,C,5,0
cellcycle_phase,expression_summary+expression_raw+protein_features,median,rank,15,0.25,25,42,8140,35,13,0.11216216216216217,1,cellcycle_phase,0.3722185001067332,0.44705882352941184,S,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,60,42,8140,24,5,0.08095823095823096,1,cellcycle_phase,0.3685535829290524,0.44230769230769235,S,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,50,0.25,60,42,8140,38,9,0.363022113022113,1,cellcycle_phase,0.36254338527524194,0.40816326530612246,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,30,0.25,60,42,8140,38,8,0.3955773955773956,1,cellcycle_phase,0.36007246268227777,0.4229607250755287,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,25,42,8140,24,24,0.2807125307125307,1,cellcycle_phase,0.3580428784969601,0.4618834080717489,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,50,0.25,40,42,8140,38,12,0.41314496314496313,1,cellcycle_phase,0.35751071468660917,0.43323442136498513,C,5,0
cellcycle_phase,expression_summary+fitness_screens+published_screens,median,rank,30,0.0,40,42,8140,24,16,0.33353808353808356,1,cellcycle_phase,0.3545630547219692,0.47356321839080456,C,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,15,0.0,60,42,8140,38,8,0.05196560196560197,1,cellcycle_phase,0.35394200150713273,0.3844856661045531,S,5,0
cellcycle_phase,expression_raw+fitness_screens+published_screens,median,rank,50,0.0,60,42,8140,38,10,0.15761670761670762,1,cellcycle_phase,0.35391189810238954,0.3761061946902655,C,5,0
